ap50,ap75,tp50,fp50,fn50,tp75,fp75,fn75,n_pred,n_gt,mean_matched_iou,merged,split,missed,spurious,dataset,method,marker_mode,min_distance,n_markers,n_fg_components,n_components_rescued,runtime_s,source,remove_size_threshold
0.23441734417344173,0.05439814814814815,173,335,230,47,461,356,508,403,0.4700467225261689,73,88,230,120,whole_cell,gp_legacy,peak,3.0,605,158,0,0.11527085304260254,round1_saved_binary,50
0.2902711323763955,0.06869220607661823,182,224,221,52,354,351,406,403,0.47892211576995447,81,56,221,63,whole_cell,gp_legacy,peak,5.0,437,158,1,0.09708404541015625,round1_saved_binary,50
0.3194444444444444,0.08108108108108109,184,173,219,57,300,346,357,403,0.47293729684074315,84,40,219,41,whole_cell,gp_legacy,peak,7.0,381,158,5,0.09120512008666992,round1_saved_binary,50
0.3432282003710575,0.08383233532934131,185,136,218,56,265,347,321,403,0.46599539101668613,86,32,218,22,whole_cell,gp_legacy,peak,9.0,341,158,12,0.08792591094970703,round1_saved_binary,50
0.31773879142300193,0.08507223113964688,163,110,240,53,220,350,273,403,0.43529012279203944,90,18,240,10,whole_cell,gp_legacy,peak,12.0,290,158,22,0.08510899543762207,round1_saved_binary,50
0.26719056974459726,0.07679465776293823,136,106,267,46,196,357,242,403,0.3954628984584602,92,13,267,6,whole_cell,gp_legacy,peak,15.0,259,158,30,0.0755460262298584,round1_saved_binary,50
0.1157556270096463,0.017595307917888565,108,530,295,18,620,385,638,403,0.37463698837931747,26,61,295,288,whole_cell,gp,legacy_none,,0,306,0,0.28553009033203125,round1_saved_binary,50
0.21497584541062803,0.04033092037228542,178,425,225,39,564,364,603,403,0.47366042497225885,40,73,225,199,whole_cell,gp,peak,3.0,917,306,3,0.15432500839233398,round1_saved_binary,50
0.32540861812778604,0.06571087216248507,219,270,184,55,434,348,489,403,0.5175355188392049,59,47,184,116,whole_cell,gp,peak,5.0,626,306,19,0.12030887603759766,round1_saved_binary,50
0.38954468802698144,0.07712418300653595,231,190,172,59,362,344,421,403,0.5297900612022847,61,28,172,73,whole_cell,gp,peak,7.0,520,306,39,0.10882186889648438,round1_saved_binary,50
0.41712204007285975,0.07905686546463246,229,146,174,57,318,346,375,403,0.5208780145679877,67,19,174,49,whole_cell,gp,peak,9.0,461,306,66,0.09627795219421387,round1_saved_binary,50
0.4108527131782946,0.07692307692307693,212,113,191,52,273,351,325,403,0.4985827442809732,78,11,191,26,whole_cell,gp,peak,12.0,406,306,96,0.09837007522583008,round1_saved_binary,50
0.37623762376237624,0.07253086419753087,190,102,213,47,245,356,292,403,0.4617082371224526,81,7,213,22,whole_cell,gp,peak,15.0,373,306,120,0.09612083435058594,round1_saved_binary,50
0.12012987012987013,0.015701668302257114,111,521,292,16,616,387,632,403,0.37404897974852225,28,61,292,283,whole_cell,qep_q2,legacy_none,,0,306,0,0.2930948734283447,round1_saved_binary,50
0.21650717703349281,0.04094165813715456,181,433,222,40,574,363,614,403,0.4742661556746128,40,75,222,210,whole_cell,qep_q2,peak,3.0,906,306,1,0.1599719524383545,round1_saved_binary,50
0.32142857142857145,0.059665871121718374,216,269,187,50,435,353,485,403,0.5152067125511138,59,48,187,111,whole_cell,qep_q2,peak,5.0,616,306,17,0.11652207374572754,round1_saved_binary,50
0.38513513513513514,0.07049608355091384,228,189,175,54,363,349,417,403,0.5242561017601908,61,30,175,70,whole_cell,qep_q2,peak,7.0,512,306,35,0.10937809944152832,round1_saved_binary,50
0.40867992766726946,0.07300275482093664,226,150,177,53,323,350,376,403,0.5187646867041679,67,20,177,49,whole_cell,qep_q2,peak,9.0,459,306,67,0.09684610366821289,round1_saved_binary,50
0.4207436399217221,0.0723781388478582,215,108,188,49,274,354,323,403,0.49824204467871236,78,11,188,25,whole_cell,qep_q2,peak,12.0,403,306,95,0.08852910995483398,round1_saved_binary,50
0.3801980198019802,0.06738131699846861,192,102,211,44,250,359,294,403,0.4638751380291286,81,7,211,21,whole_cell,qep_q2,peak,15.0,374,306,118,0.0879218578338623,round1_saved_binary,50
0.13296703296703297,0.02485089463220676,121,507,282,25,603,378,628,403,0.40347990583413973,32,67,282,259,whole_cell,qep_q1.5,legacy_none,,0,247,0,0.2598609924316406,round1_saved_binary,50
0.23994811932555124,0.056353591160221,185,368,218,51,502,352,553,403,0.49148301333599737,53,77,218,156,whole_cell,qep_q1.5,peak,3.0,718,247,1,0.14286494255065918,round1_saved_binary,50
0.32457496136012365,0.07259073842302878,210,244,193,58,396,345,454,403,0.5182074983456553,57,56,193,80,whole_cell,qep_q1.5,peak,5.0,521,247,4,0.11148691177368164,round1_saved_binary,50
0.3793103448275862,0.09289617486338798,220,177,183,68,329,335,397,403,0.5237151104037425,64,35,183,54,whole_cell,qep_q1.5,peak,7.0,441,247,15,0.09181904792785645,round1_saved_binary,50
0.416044776119403,0.09840810419681621,223,133,180,68,288,335,356,403,0.521517915279241,68,24,180,33,whole_cell,qep_q1.5,peak,9.0,396,247,27,0.09751033782958984,round1_saved_binary,50
0.40711462450592883,0.1021671826625387,206,103,197,66,243,337,309,403,0.49728798532057705,75,12,197,21,whole_cell,qep_q1.5,peak,12.0,348,247,49,0.09059929847717285,round1_saved_binary,50
0.3714859437751004,0.09455128205128205,185,95,218,59,221,344,280,403,0.4648097053848884,79,7,218,15,whole_cell,qep_q1.5,peak,15.0,319,247,66,0.08304500579833984,round1_saved_binary,50
