arm,iter,loss,raw_lengthscale,lengthscale,raw_outputscale,outputscale,raw_noise,noise,mean_constant
gp,19,0.8600977516712298,-1.9995580778868127,0.12698069970369008,1.98471175743664,2.11347448947035,-1.0864178478688422,0.29084465199982185,-0.7103662417339737
gp,20,0.8074661022064532,-2.114648288668367,0.1139318293702643,2.0975015644566803,2.2132939625631813,-1.1910400791349174,0.26546361910935995,-0.6338646865973389
gp,21,0.748160666916202,-2.2303320741096715,0.10209865736814196,2.2101680081644366,2.3142416937246177,-1.2985959734464834,0.24140931313050268,-0.5528624479771389
gp,22,0.696808646243405,-2.345864066794384,0.09145221972443102,2.3217792687302268,2.4153596678274214,-1.4091024953679443,0.21872335157964162,-0.46491055967083234
gp,23,0.6535037571993545,-2.4597414753174,0.08200113411887774,2.430879773733367,2.515183618300237,-1.5224788597428882,0.19745006284362474,-0.3734094985270359
gp,24,0.6200813745458253,-2.570523659842726,0.07371083653540131,2.5354766691360586,2.611718884064375,-1.6384869284164751,0.17763827691254463,-0.28244361624723235
gp,25,0.5954365031873515,-2.6756805424556163,0.06659261347487383,2.6334871043230796,2.702852291014935,-1.7567652222109231,0.1593254600224902,-0.19373053605707952
gp,26,0.581980102299192,-2.772262645877839,0.060643805722458886,2.722206454366542,2.7858660565767472,-1.8767623573900518,0.14254090604874622,-0.10432867351250052
gp,27,0.5690726033816091,-2.8573559796954044,0.055832338688167754,2.799367530081041,2.85843662299603,-1.9978523291875903,0.12728426195233442,-0.018168415324961926
gp,28,0.5799686663688165,-2.927479814101305,0.052148118326952125,2.8619242525039406,2.917509058503181,-2.1190188498441476,0.11356211868646238,0.0628367284975073
gp,29,0.58265836876847,-2.981933726995174,0.04945157328974472,2.9093392454207176,2.9624170965484233,-2.2396737589334053,0.10129577220404608,0.12955491602955893
gp,30,0.5881628250574422,-3.02032257836847,0.04763280772256026,2.941083308846435,2.992544654456823,-2.359075605265392,0.09040453161367067,0.16218641359195632
gp,31,0.5799051528946566,-3.042898723219788,0.04659387806344163,2.9581093517060655,3.0087235476919747,-2.4767797045525866,0.08077020756177797,0.1647629777553034
gp,32,0.5778481886736188,-3.0516781333230396,0.04619586516892245,2.962043661188608,3.012464043450495,-2.5924965781707643,0.07226528233935105,0.14383058712064808
gp,33,0.5617601353095615,-3.047583777533507,0.0463810669507251,2.9540848387674443,3.004898043554593,-2.705648269530849,0.06478881100098093,0.11224078408883628
gp,34,0.5548290609032004,-3.032968753487135,0.047048089172053005,2.936344418333071,2.988044000692748,-2.8161375852970654,0.05821475545014978,0.06665661661494554
gp,35,0.5351425785528725,-3.010765776576233,0.04807938476505112,2.911074226863036,2.964062463920544,-2.9239049687999707,0.05243007092936543,0.010283907286360153
gp,36,0.5239668515606686,-2.981879344383236,0.0494541972508504,2.880382868857235,2.934978316092578,-3.028862407188605,0.04733718074666136,-0.05073763745946875
gp,37,0.4847402608876001,-2.9493868728406207,0.051046480280849876,2.8466994968734167,2.903113432431185,-3.1310609358297423,0.04284472735199232,-0.10538263024673411
gp,38,0.4821617194581243,-2.918437427141233,0.05260955480568704,2.8134593600266458,2.8717255148213474,-3.2302949193986836,0.03888391992183115,-0.15966557347372345
gp,39,0.4487688654648676,-2.8917085455685783,0.0539969085578802,2.7839809139513796,2.8439389874142584,-3.327032416152864,0.03537011390906221,-0.20854903424756666
