arm,label,is_probe,power,seed,sigma,rmse,rel_l1,rel_l2,rel_linf,edge_band_rmse,interior_rmse,edge_interior_ratio,edge_band_px,edge_sharpness_ratio,grad_rmse_band,grad_corr,boundary_precision,boundary_recall,boundary_f1,pred_boundary_px,true_boundary_px,fg_iou_fixed_thr,boundary_f1_otsu,fg_iou_otsu,otsu_threshold,invalid,runtime_s,final_loss,n_iters,lengthscale_0,lengthscale_1,outputscale,noise,n_nonfinite_loss,n_cholesky_retries,failed,failure_reason,inference,num_inducing,init_lengthscale,init_noise,lr,nu,dtype,n_train,loss_first,loss_min,tail_improve_frac,converged
qep_q2p0,q=2.0,0,2.0,2,0.1,0.09007872051919129,0.325368175241765,0.2685546100380723,0.46893912078829014,0.1542786262208688,0.037896057775231286,4.071099615055598,1223,1.065614217962949,0.7273339084465755,0.9363968313084414,1.0,1.0,1.0,233,225,0.9543918918918919,1.0,0.9807355516637478,0.43367715781856403,0.0,166.17369103431702,-0.3634882692030805,400,0.04557675202504699,0.04195560136925308,0.06204576768555352,0.017719464570995262,0,0,0,,exact,0.0,0.04,0.1,0.02,2.5,float64,4096.0,0.2449793372617598,-0.4197930066876958,-0.007665222372652302,1.0
qep_q1p8,q=1.8,0,1.8,2,0.1,0.08972998202258092,0.32521332120854846,0.26751490465124333,0.46807303980768245,0.1535257168387859,0.038017946716151836,4.038243253509555,1223,1.068848319923488,0.7193402924612011,0.9377548523738414,1.0,1.0,1.0,232,225,0.9560067681895094,1.0,0.9790209790209791,0.43400742682435145,0.0,187.06786370277405,-0.3613577546758996,400,0.0460779112493992,0.0426915403189372,0.026770938559282694,0.006954648275159152,0,0,0,,exact,0.0,0.04,0.1,0.02,2.5,float64,4096.0,0.5297974029802992,-0.4235103106841239,0.0038346811122168946,1.0
qep_q1p5,q=1.5,0,1.5,2,0.1,0.08206757299315193,0.389153772752235,0.24467071617931566,0.4167492777519002,0.10031086147057137,0.07292973878769046,1.375445231781119,1223,1.1677290376217409,0.3959484094410137,0.9682775585286307,1.0,1.0,1.0,226,225,0.9964788732394366,1.0,0.9964664310954063,0.4433565611404654,0.0,272.88955426216125,0.18358248065174787,400,0.06830921425260388,0.06647356832647382,0.25737061469678046,0.0002256572250822898,0,0,0,,exact,0.0,0.04,0.1,0.02,2.5,float64,4096.0,0.9727014130621504,-0.3655187565055613,0.07705781519759922,0.0
qep_q1p2,q=1.2,0,1.2,2,0.1,0.10232583051402958,0.35641354211835763,0.3050673161444656,0.5312903441744636,0.17880285922360992,0.03630900575527399,4.924476875757973,1223,1.0641106523244903,0.97674016743966,0.8681749787554357,1.0,1.0,1.0,235,225,0.9368770764119602,1.0,0.9620034542314335,0.4249594303780022,0.0,179.65566611289978,-0.7017056522541152,400,0.28028735121002774,0.3046419089257454,0.35470366470615383,0.00010913462268437928,0,0,0,,exact,0.0,0.04,0.1,0.02,2.5,float64,4096.0,1.4402667629349473,-0.7608205434030402,-0.009921509265139706,1.0
qep_q1p0,q=1.0,0,1.0,2,0.1,0.10346150017403541,0.35925060799361574,0.3084531249227992,0.5215820532216444,0.18123357363641665,0.0357630768912975,5.0676169219801555,1223,1.0567337624450377,1.0002279635728346,0.8607191184338545,1.0,1.0,1.0,237,225,0.9258649093904449,1.0,0.9569707401032702,0.4224354369198058,0.0,182.6604769229889,-0.24397402857485995,400,0.2933492227017406,0.3057958095201159,0.31923482532205466,0.00010762226875944734,0,0,0,,exact,0.0,0.04,0.1,0.02,2.5,float64,4096.0,1.7609627874005764,-0.2708213910114119,0.0016131714150935262,1.0
gp_control,GP control,0,,2,0.1,0.09011749903952015,0.32420442610806777,0.26867022169801535,0.4723720238995702,0.15464001389100357,0.037397193042134604,4.135070076429908,1223,1.0645601638786697,0.7305558422473167,0.9357857766252288,1.0,1.0,1.0,232,225,0.9560067681895094,1.0,0.9807355516637478,0.43402177786618257,0.0,165.05326294898987,-0.3540627991307639,400,0.045536433279454114,0.04210664178897692,0.06138239034160028,0.017793566532329864,0,0,0,,exact,0.0,0.04,0.1,0.02,2.5,float64,4096.0,0.23871935430192703,-0.4267526926155205,-0.020948969327322625,1.0
identity_noisy,no smoothing,0,,3,0.1,0.10021973457060082,0.48405101287499025,0.29878834402396603,0.388645527104108,0.10014659255644073,0.10025085401384752,0.9989599943219198,1223,1.1750362896242006,0.43399448417825454,0.9588706913382306,0.982532751091703,1.0,0.9911894273127753,229,225,0.9982363315696648,1.0,1.0,0.466979847969603,0.0,0.0,,0,,,,,0,0,0,,exact,,,,,,,,,,,
qep_q3p0,q=3.0 (probe),1,3.0,3,0.1,0.09294352845950728,0.3307099832005812,0.27709555483403686,0.48067824490535926,0.16083616440878273,0.03611096663535349,4.453942372490253,1223,1.042839106718874,0.7862643749219594,0.9252654930790868,1.0,1.0,1.0,235,225,0.948073701842546,1.0,0.9755244755244755,0.429808221157228,0.0,154.80759501457214,-0.3608873926545131,400,0.047058840956405494,0.0441491069293709,0.9320945408779744,0.2979874836662542,0,0,0,,exact,0.0,0.04,0.1,0.02,2.5,float64,4096.0,0.17451379215199703,-0.3672786275651936,0.0010779425254705637,1.0
qep_q2p0,q=2.0,0,2.0,3,0.1,0.09302055221501833,0.3320205609989709,0.2773251882536249,0.47858079941175535,0.1608605695181153,0.03634667620409017,4.425729841564256,1223,1.0447200899412032,0.7863475511306064,0.9250984298246001,1.0,1.0,1.0,236,225,0.9464882943143813,1.0,0.9772329246935202,0.4330713870389641,0.0,162.44675993919373,-0.3595444820361502,400,0.04793292550542202,0.04499805798482567,0.06197489973090742,0.018587694784956855,0,0,0,,exact,0.0,0.04,0.1,0.02,2.5,float64,4096.0,0.24602267320414728,-0.4215205701736662,-0.0006265888369858633,1.0
qep_q1p8,q=1.8,0,1.8,3,0.1,0.09215584702384083,0.33198314406117596,0.27474721463148516,0.47015060135564246,0.15867199728759532,0.03728923854709408,4.255168608154926,1223,1.0530564353647542,0.7655150837991025,0.9290257006137308,1.0,1.0,1.0,236,225,0.948073701842546,1.0,0.9772329246935202,0.43551624937505734,0.0,180.27333617210388,-0.3605858290018085,400,0.0497395059532317,0.04626076678443849,0.030531631403989092,0.007204210741619316,0,0,0,,exact,0.0,0.04,0.1,0.02,2.5,float64,4096.0,0.5263452427794828,-0.43741872833450357,0.018288745540635164,0.0
qep_q1p5,q=1.5,0,1.5,3,0.1,0.08062266551225693,0.37788310243088935,0.24036296665938126,0.34437470080098675,0.10253179425609403,0.06922308116347146,1.481179290675656,1223,1.1458536062515825,0.41538990132337283,0.96695143789712,1.0,1.0,1.0,226,225,0.9982363315696648,1.0,1.0,0.38713899698798204,0.0,260.4368779659271,0.0973063622811019,400,0.06575171236694743,0.057620397628569894,0.16881788721467478,0.0002965867392806771,0,0,0,,exact,0.0,0.04,0.1,0.02,2.5,float64,4096.0,0.9701953056967666,-0.3796601581873802,0.03886364812568102,0.0
qep_q1p2,q=1.2,0,1.2,3,0.1,0.1039182835451061,0.3634228834070338,0.30981494799691395,0.5213828686743822,0.18203529494431173,0.03591757640138308,5.06813970157803,1223,1.0483838087176462,1.0007828012903603,0.8620002006027431,1.0,1.0,1.0,233,225,0.9336650082918739,1.0,0.946917808219178,0.4237937155477054,0.0,178.07825827598572,-0.7470882590331578,400,0.27623261244690545,0.316256237986547,0.3422391830053039,0.00010893621113622058,0,0,0,,exact,0.0,0.04,0.1,0.02,2.5,float64,4096.0,1.4401468512347702,-0.7596441720116625,0.031078722508283686,0.0
qep_q1p0,q=1.0,0,1.0,3,0.1,0.10433018672178695,0.3613292389289971,0.31104296829237765,0.5030798555136482,0.18318894900897328,0.03511417129826601,5.216952080484367,1223,1.042360765100373,1.0099235206796042,0.8588321978744826,1.0,1.0,1.0,233,225,0.929159802306425,1.0,0.9402730375426621,0.4220702761322411,0.0,164.30446815490723,-0.23212999875921092,400,0.3251062878233184,0.3112555799236869,0.4185878671926241,0.00010734767761933856,0,0,0,,exact,0.0,0.04,0.1,0.02,2.5,float64,4096.0,1.766206812642448,-0.32729987601716726,-0.016872073330322267,1.0
gp_control,GP control,0,,3,0.1,0.0929529755453171,0.33194187889684057,0.2771237197372574,0.4755343420774607,0.16067628902930872,0.03644704143309692,4.408486469999219,1223,1.0452429630108933,0.7846616821052856,0.9254571854192245,1.0,1.0,1.0,236,225,0.9464882943143813,1.0,0.9772329246935202,0.433516943877548,0.0,161.87313795089722,-0.3609816948829223,400,0.04794256055342797,0.04495045967170156,0.06239923674034393,0.018553445116258165,0,0,0,,exact,0.0,0.04,0.1,0.02,2.5,float64,4096.0,0.23999037822740288,-0.4097663669531033,-0.0013331403248331047,1.0
identity_noisy,no smoothing,0,,1,0.25,0.2507351917215291,1.20351605826205,0.7475249564768247,0.9379087418165896,0.2597497029536736,0.24679793339421255,1.0524792464075179,1223,1.5412814119162364,1.099536480973484,0.7599667741921513,0.3274647887323944,1.0,0.493368700265252,1136,225,0.6229885057471264,0.4863813229571985,0.6139954853273137,0.3773218515868132,0.0,0.0,,0,,,,,0,0,0,,exact,,,,,,,,,,,
qep_q3p0,q=3.0 (probe),1,3.0,1,0.25,0.14691133089256045,0.6959564423844491,0.43799151398492775,0.6513602537010198,0.17432581866638852,0.13354437709452877,1.3053774517439458,1223,1.2358643982304776,0.8020938709497045,0.8401907352886373,0.7670807453416149,1.0,0.8681898066783831,322,225,0.9022801302931596,0.932301740812379,0.9308600337268128,0.42326954375099224,0.0,158.39285922050476,0.24915641659340837,400,0.01882254344841729,0.017776769763583417,1.4416260134809356,0.6430362991183728,0,0,0,,exact,0.0,0.04,0.25,0.02,2.5,float64,4096.0,2.141043357862273,0.24405865590045517,0.0003082742951637523,1.0
qep_q2p0,q=2.0,0,2.0,1,0.25,0.12239665487376152,0.49576227777885407,0.3649051155492883,0.5753234800589068,0.20285798503751706,0.06197194329627969,3.273384280813654,1223,0.9637906108732254,1.0928535850115944,0.8335181797774761,1.0,1.0,1.0,229,225,0.9078947368421053,1.0,0.9165275459098498,0.401745569560728,0.0,154.7432210445404,0.2059266368383923,400,0.057856799536104064,0.05538460403103568,0.07425672148459685,0.07244122962366617,0,0,0,,exact,0.0,0.04,0.25,0.02,2.5,float64,4096.0,0.6144128177944976,0.20092994211472703,-0.005012621795592064,1.0
qep_q1p8,q=1.8,0,1.8,1,0.25,0.12352765903076944,0.5008225045262887,0.36827701491226816,0.5680439774628008,0.20527439174993992,0.06178386242749193,3.3224596793514656,1223,0.9661318291208372,1.1189777724626095,0.8222958855119135,1.0,1.0,1.0,230,225,0.8990228013029316,1.0,0.9041322314049587,0.4019977130551014,0.0,155.45708394050598,0.20790592831424437,400,0.06846815856823872,0.06579513336904799,0.04360151435364819,0.02910342712182407,0,0,0,,exact,0.0,0.04,0.25,0.02,2.5,float64,4096.0,0.893850449583689,0.18908050701744472,0.00041216437117507377,1.0
qep_q1p5,q=1.5,0,1.5,1,0.25,0.12650687453406206,0.5652373666832012,0.3771590466850848,0.6110481613378516,0.17876245763453613,0.09598651921480972,1.8623704567771737,1223,1.1612182044716977,0.8309233131460003,0.8740634824086272,0.9746835443037974,1.0,0.9871794871794872,237,225,0.9203980099502488,1.0,0.934010152284264,0.42687180823036125,0.0,183.004380941391,0.2598276941315949,400,0.06032408356075643,0.05816133789738558,0.04307903634320558,0.003484284510625863,0,0,0,,exact,0.0,0.04,0.25,0.02,2.5,float64,4096.0,1.3762773728865567,0.21262144810876715,0.021141695189508664,0.0
qep_q1p2,q=1.2,0,1.2,1,0.25,0.1399708903194517,0.650054902318766,0.4172997534796647,0.6469366187485561,0.17759308205967062,0.12044073091326826,1.4745267710767953,1223,1.2764163981268721,0.8125935018452286,0.8552151172383905,0.8939393939393939,1.0,0.944,264,225,0.9209225700164745,0.9559748427672956,0.930976430976431,0.43636629175027974,0.0,241.63055682182312,0.8218607372474684,400,0.13224295361713417,0.11307631827984742,0.189820033109454,0.00014949927454319968,0,0,0,,exact,0.0,0.04,0.25,0.02,2.5,float64,4096.0,1.8676691027525179,0.41533050125840765,-0.016889192809400645,1.0
qep_q1p0,q=1.0,0,1.0,1,0.25,0.12431093630815433,0.5371282055691996,0.37061222485494233,0.597445619659259,0.18777957094673,0.08379266015599225,2.241002620004556,1223,1.1060094252499533,0.9410994117856204,0.8562386789981603,0.9914163090128756,1.0,0.9956896551724138,233,225,0.9095394736842105,0.9956331877729258,0.916247906197655,0.4227793604193604,0.0,202.57937097549438,0.6580554455803918,400,0.20662242592618818,0.2274077109244153,0.1726405728975928,0.0001110868457386402,0,0,0,,exact,0.0,0.04,0.25,0.02,2.5,float64,4096.0,2.206939898801116,0.521770199230597,0.019062847199134973,0.0
gp_control,GP control,0,,1,0.25,0.12235600142258662,0.4957729297478529,0.36478391409722455,0.5752341164023086,0.2027116004661432,0.062061330966290004,3.2663108784478134,1223,0.964386075273788,1.0915344436853651,0.8339161540680838,1.0,1.0,1.0,229,225,0.9078947368421053,1.0,0.9165275459098498,0.401622103008021,0.0,156.29553413391113,0.205467895811009,400,0.05768672734378111,0.05524490362373024,0.07429458019270654,0.07240954229741652,0,0,0,,exact,0.0,0.04,0.25,0.02,2.5,float64,4096.0,0.6101643794364876,0.20098755881072605,0.0013897148899362883,1.0
identity_noisy,no smoothing,0,,2,0.25,0.25047418927645776,1.208513191165891,0.7467468214250488,0.9180335901418346,0.24986242950655818,0.25073415479148725,0.9965233085789449,1223,1.5234560715779102,1.040243830610395,0.767763424884565,0.3254759746146872,1.0,0.4911080711354309,1103,225,0.6400937866354045,0.4996326230712711,0.6646341463414634,0.3979140604654513,0.0,0.0,,0,,,,,0,0,0,,exact,,,,,,,,,,,
qep_q3p0,q=3.0 (probe),1,3.0,2,0.25,0.14453720556333416,0.6915176302241527,0.43091345716643603,0.5821882363186092,0.16443530232151304,0.13518096168843313,1.2164087329139268,1223,1.2475374083541155,0.7755015385323968,0.8477395454242602,0.7617554858934169,1.0,0.8647686832740212,319,225,0.9102773246329527,0.9529652351738241,0.9516407599309153,0.43826864951430733,0.0,159.20210599899292,0.25486064298704325,400,0.019401551828599387,0.017712352976322596,1.5139097457383088,0.6522516587992976,0,0,0,,exact,0.0,0.04,0.25,0.02,2.5,float64,4096.0,2.221378052413253,0.25486064298704325,0.005117535808447115,1.0
qep_q2p0,q=2.0,0,2.0,2,0.25,0.12004182287464611,0.4867465582311092,0.35788457856138917,0.5304343664779936,0.1970911463213326,0.0633120647871056,3.1130108769011904,1223,1.0014044138345866,1.0880750907455157,0.8307951867574976,1.0,1.0,1.0,237,225,0.901294498381877,1.0,0.912396694214876,0.4067409012677519,0.0,158.30569505691528,0.21205544037676172,400,0.05898417017127057,0.05775998935772023,0.0796186706018399,0.07357539438115018,0,0,0,,exact,0.0,0.04,0.25,0.02,2.5,float64,4096.0,0.6096852441295784,0.20842800085648794,-0.004524047681227309,1.0
qep_q1p8,q=1.8,0,1.8,2,0.25,0.12136170400699667,0.4934603731181587,0.36181958297477324,0.5419800482386476,0.19933333067134726,0.06390853285044042,3.119040944623619,1223,1.0052498077619185,1.1098900348850784,0.8213763501685948,1.0,1.0,1.0,236,225,0.8956661316211878,1.0,0.9105960264900662,0.40956557719113273,0.0,157.59332299232483,0.21688820186912983,400,0.06876406786329094,0.0679138348630091,0.04628023778541693,0.029421004285486253,0,0,0,,exact,0.0,0.04,0.25,0.02,2.5,float64,4096.0,0.8944932542997559,0.20357261721207792,-0.005779115301657445,1.0
