dataset,image,region_class,site_r,site_c,site_size,n_query,S1_mean,base_grad_raw,base_grad_fastgp,base_grad_dist,S2_mean_q2.0,S2_se_q2.0,S3_p90_q2.0,S3_p90_se_q2.0,S3_p95_q2.0,S3_p95_se_q2.0,S3_p99_q2.0,S3_p99_se_q2.0,S2_mean_q1.5,S2_se_q1.5,S3_p90_q1.5,S3_p90_se_q1.5,S3_p95_q1.5,S3_p95_se_q1.5,S3_p99_q1.5,S3_p99_se_q1.5
nuclei,nuclei_figure_1,B_separated_interface,507,426,52,81,3.1483077238338235,8.035795438056661,2.736950635048115,0.7225848629496259,3.2598489726444306,0.004244975037997015,0.2145672839506173,0.000871263911667607,0.08590308641975308,0.0008140524526042678,0.0002808641975308642,4.6025313040852985e-05,3.3256560890386186,0.005345797228636666,0.21473827160493825,0.0010896692592128412,0.09374444444444444,0.0009489930246458273,0.0029450617283950614,0.00018854185091600397
nuclei,nuclei_figure_1,B_separated_interface,614,584,49,81,4.563933479096574,8.36641250284638,4.091041498932314,0.9050419843947152,4.620818357262111,0.004490317859558219,0.37773703703703704,0.0016379287568968014,0.18180555555555555,0.0013062307891980648,0.007257407407407407,0.00021723514734213424,4.656551173095649,0.005692009218330634,0.3833302469135803,0.0019379877249256507,0.19496913580246913,0.00161432893777813,0.01489320987654321,0.0004716402246746466
nuclei,nuclei_figure_1,B_separated_interface,1081,202,48,81,3.7367861089879644,6.799600526471259,3.6463170676057617,0.8631489917567516,3.8182380436283325,0.004486859616857131,0.2293703703703704,0.0011652259411321143,0.0880216049382716,0.0009042737491688665,0.00038271604938271603,5.714554681574881e-05,3.8666157728981583,0.005670103217166526,0.2376425925925926,0.001521886372184346,0.09791913580246914,0.001156316560850265,0.0036160493827160495,0.00022875062168141257
nuclei,nuclei_figure_1,B_separated_interface,887,326,48,81,3.568139461228363,5.333083328185502,3.114254024783879,0.23934277249233885,3.6659516672569787,0.004352681557531331,0.26676172839506174,0.0005568667752972661,0.1916753086419753,0.0006972846327922732,0.0188179012345679,0.0003703678962856555,3.723960023853056,0.005485633125659259,0.2674098765432099,0.0008700868986748206,0.19076666666666667,0.0008743314591638899,0.026805555555555558,0.0005031549007894416
nuclei,nuclei_figure_1,B_separated_interface,836,130,46,81,3.5588551492448985,5.930644791990671,3.4637841052623184,0.5975261499051229,3.660776035712461,0.004137323219190645,0.22455987654320989,0.0010665419453260896,0.07239999999999999,0.0008413999087583104,9.074074074074073e-05,2.509751111798101e-05,3.717366039909782,0.005258062818348601,0.22981728395061726,0.0013796641233600566,0.08300246913580246,0.001047746950318401,0.0019506172839506173,0.0001672673342887224
nuclei,nuclei_figure_1,B_separated_interface,163,527,46,81,3.2552054205289602,6.103134323163746,3.1310050974394006,0.9020954401551217,3.3436025960475027,0.004451071344664188,0.12015617283950616,0.0011005877835642492,0.017645061728395063,0.0004660783906246094,3.08641975308642e-06,2.724733240117035e-06,3.397268819922985,0.005610384508372633,0.13069444444444447,0.001375392467225085,0.031206790123456788,0.0007370287777406583,0.0006074074074074073,9.392641276527501e-05
nuclei,nuclei_figure_1,B_separated_interface,940,414,41,81,2.4967844775835903,5.655275465080459,2.3366896553211527,0.421807900285025,2.625827755714157,0.004303483351124465,0.02411172839506173,0.0005432242740085462,0.0010166666666666668,0.00010077162294825236,0.0,0.0,2.7006392520357014,0.005392554066189078,0.038692592592592584,0.0008255016667427465,0.006422839506172839,0.0003283449953749773,7.407407407407406e-05,3.070309869943413e-05
nuclei,nuclei_figure_1,B_separated_interface,385,488,39,81,3.823437953391707,5.95096665477836,3.7769480733154945,0.8881507459432286,3.9138313967764007,0.004479903599315778,0.210479012345679,0.0015755592241643226,0.05100493827160494,0.0008290064911056709,0.00010617283950617284,2.2160502394553742e-05,3.9598942836414075,0.005700006403730565,0.2230413580246913,0.0018554854410325948,0.0687432098765432,0.0011705130773153657,0.001911111111111111,0.00018004087126260028
nuclei,nuclei_figure_1,B_separated_interface,1098,342,38,81,2.024091310641834,5.198410958062006,2.207802310656106,0.888524224756139,2.1743825914015678,0.004176228240292344,0.03879197530864197,0.00027270823660453195,0.010319135802469136,0.00015265272882314797,1.2962962962962962e-05,4.771771961810785e-06,2.262413753223624,0.005210854392723762,0.04201111111111111,0.0004463827366718499,0.01312654320987654,0.00023672051350078657,0.0003351851851851852,3.145805000621104e-05
nuclei,nuclei_figure_1,B_separated_interface,153,806,36,81,2.9589383064803108,5.49133275094253,2.8152607114987793,0.6386925951012676,3.0821082070438672,0.0042489383519129,0.19796172839506174,0.0007447666567472026,0.09565864197530864,0.0007112953009745548,0.0012598765432098767,8.164134281828998e-05,3.1554540576875194,0.00533262776977402,0.19922777777777778,0.0009538025746351035,0.10145432098765432,0.0008456543423739545,0.005048765432098765,0.00021920315111551036
