dataset,image,gt_id_1,gt_id_2,merged,interface_len_px,local_contrast,n_query_on_band,S1,base_grad_raw,base_grad_fastgp,base_grad_dist,S2_q2.0,S3_p90_q2.0,S3_p95_q2.0,S3_p99_q2.0,S2_q1.5,S3_p90_q1.5,S3_p95_q1.5,S3_p99_q1.5
nuclei,nuclei_figure_1,276,279,False,41,6.649717514124291,24,1.6012052039030975,5.359371773453539,1.6896530502932425,0.125,1.8197297438396387,0.00037499999999999995,0.0,0.0,1.9234832093411178,0.0031249999999999997,0.00035624999999999996,4.166666666666667e-06
nuclei,nuclei_figure_1,286,298,True,47,5.9355131589950645,30,2.4366966279511,4.858055135587681,2.341836092703393,0.8682417566737864,2.537446174449377,0.007586666666666666,0.00028,0.0,2.6050140701278224,0.014655,0.0020083333333333333,1.6666666666666667e-05
nuclei,nuclei_figure_1,288,292,True,56,1.2942246415294676,27,2.1070315350216995,8.466442443559858,1.7838557807318256,0.9364084279085153,2.2166340408387017,7.777777777777777e-05,0.0,0.0,2.2913181804454257,0.0023333333333333327,0.0002037037037037037,0.0
nuclei,nuclei_figure_1,291,294,False,22,10.52400863231722,22,1.9521872826318358,6.517246610042752,1.4679300472285737,0.327020569478665,2.088740931260091,0.00024545454545454545,0.0,0.0,2.1745347379019395,0.002768181818181818,0.0003,0.0
nuclei,nuclei_figure_1,292,297,False,18,13.93386880856761,18,1.689532024673914,4.814928982157272,1.5933736477502487,0.7459336687213127,1.8491676088589826,2.777777777777778e-06,0.0,0.0,1.9412233459273085,0.0007777777777777777,6.111111111111111e-05,0.0
nuclei,nuclei_figure_1,293,299,True,35,-2.1542367219686014,21,4.301776549866698,6.683813108782919,4.103628438176016,0.9049487109359636,4.352923140046632,0.24258333333333337,0.1161880952380952,0.0029357142857142854,4.38609148999839,0.25693571428571427,0.12518809523809526,0.007604761904761904
nuclei,nuclei_figure_1,294,299,False,86,3.9626345915222316,27,2.211186407965812,6.956421055669389,1.8337170836828294,0.7292755780075758,2.3525555688958453,0.0023648148148148144,1.8518518518518518e-05,0.0,2.4329259788252875,0.010011111111111111,0.0011685185185185184,1.2962962962962962e-05
nuclei,nuclei_figure_1,299,305,False,10,17.92352941176469,10,1.5036163602368826,7.749756702748604,1.1812264801277126,0.0,1.674409482652959,0.0,0.0,0.0,1.7775640777065498,0.000355,3.5000000000000004e-05,0.0
nuclei,nuclei_figure_1,305,306,False,29,10.23947597545913,26,2.2323097535622836,5.17334801581824,2.1398842288363067,0.46888685735369684,2.3459243058795622,0.000903846153846154,9.615384615384616e-06,0.0,2.4177177680499455,0.005265384615384616,0.0006057692307692308,0.0
nuclei,nuclei_figure_1,305,312,False,56,6.987968591691981,32,1.12557850704704,6.398808200387011,1.1601589591035761,0.7073693416759806,1.425879297895133,9.375e-06,0.0,0.0,1.5508828205207494,0.000625,4.0625e-05,0.0
nuclei,nuclei_figure_1,306,310,False,32,15.375612745098039,30,2.306933774190105,5.312871903987715,2.226282253434204,0.4814319664545604,2.448325501122621,0.028945,0.003031666666666667,0.0,2.527331968525424,0.03676,0.007261666666666666,0.000105
nuclei,nuclei_figure_1,307,315,False,48,11.48565745393637,22,1.6077392916217357,5.750208998857678,1.5279075443821428,0.7432531631480537,1.7907629018112556,9.090909090909091e-06,0.0,0.0,1.8915056306691589,0.0016068181818181817,0.00013181818181818184,0.0
nuclei,nuclei_figure_1,308,310,False,33,4.02930055048455,22,1.9989248204357315,5.339849514533634,1.8192640039224606,0.912281021498417,2.134742699976076,0.0003818181818181818,2.2727272727272728e-06,0.0,2.216890739622831,0.004236363636363636,0.00043409090909090915,2.2727272727272728e-06
nuclei,nuclei_figure_1,312,317,False,38,-2.5133281447611466,28,2.224472998323149,4.451679074154004,2.362325797527983,0.8997827039221001,2.3768089868481423,0.07876607142857142,0.021692857142857146,3.035714285714286e-05,2.464192380342573,0.08199999999999999,0.027076785714285716,0.0006964285714285715
nuclei,nuclei_figure_1,313,315,False,28,6.837953091684426,27,2.4612052083964886,5.300081992284599,2.215796285600308,0.8105668481092161,2.5739342265699574,0.005685185185185186,0.00015925925925925927,0.0,2.64263009416204,0.01429074074074074,0.0016981481481481483,1.111111111111111e-05
nuclei,nuclei_figure_1,318,323,False,31,12.067414833922811,29,3.859079084225405,6.7865159584233234,3.531760818787077,0.9227998931000364,3.9214010798092107,0.20009655172413787,0.03971896551724137,3.103448275862069e-05,3.9641006460810995,0.21326206896551722,0.0571448275862069,0.0012603448275862069
nuclei,nuclei_figure_1,327,328,True,36,-10.250983742363047,18,4.261014988212275,7.182153694800435,4.2427824594089225,0.9066618613166109,4.304868651934125,0.07787777777777777,0.0027277777777777773,0.0,4.33336901546572,0.12058055555555554,0.020100000000000003,0.00021111111111111113
whole_cell,whole_cell_figure_1,1,12,True,44,-0.7409090909090992,29,17.824793440017743,18.18090587734623,17.655803734191412,0.9212634870040964,17.878489425048322,0.06515,0.03199310344827586,0.0,17.91050142087067,0.0654655172413793,0.031129310344827583,0.0
whole_cell,whole_cell_figure_1,4,7,False,23,17.663947123825267,4,9.938943816897499,10.260402785601844,10.524910750223206,0.625,10.0518154036067,0.0,0.0,0.0,10.121057003586305,0.0,0.0,0.0
whole_cell,whole_cell_figure_1,6,20,False,19,36.63937621832359,18,14.376372035924277,13.36006520899804,13.2405824096436,0.39701468721899846,14.425061580459852,0.0,0.0,0.0,14.45587751050188,0.0,0.0,0.0
whole_cell,whole_cell_figure_1,7,21,True,47,14.692165785266269,20,12.315538781704158,12.124113787421516,11.571205664494348,0.8915695985865391,12.385334940535358,0.0,0.0,0.0,12.430054033768638,0.0,0.0,0.0
whole_cell,whole_cell_figure_1,8,9,True,60,12.03659217877096,27,7.775968802050073,9.703795343524664,8.65095062840127,0.8809867682482501,7.907151725970142,0.0,0.0,0.0,7.984096507213135,0.0,0.0,0.0
whole_cell,whole_cell_figure_1,10,31,True,17,36.89853757665929,17,13.334884164384091,12.552691169766021,12.39910896611339,0.6748367826420094,13.401611984913615,0.0,0.0,0.0,13.448097285511569,8.823529411764707e-06,0.0,0.0
whole_cell,whole_cell_figure_1,16,17,False,16,40.21947900466563,16,12.151347297453896,11.890852766166244,12.118006054858633,0.4718312122740297,12.24088689713257,0.0,0.0,0.0,12.29529648590346,0.0,0.0,0.0
whole_cell,whole_cell_figure_1,27,31,True,26,-1.665837104072395,24,16.00361435656822,15.934624152331182,15.714286471912216,0.891645306677852,16.108880239840023,0.08017291666666668,1.0416666666666666e-05,0.0,16.162485286884095,0.07847916666666667,0.00028958333333333337,0.0
whole_cell,whole_cell_figure_1,31,34,False,22,35.23206839032527,20,13.354150156283794,14.429180294832165,13.682151969906894,0.8038040746211941,13.421557726262005,0.0,0.0,0.0,13.463890996865874,2.75e-05,0.0,0.0
whole_cell,whole_cell_figure_1,35,38,False,12,31.045302013422813,12,15.307115518033699,13.37719213660855,13.448466340733306,0.4302097036421533,15.338348930515643,2.4999999999999998e-05,0.0,0.0,15.358664294514801,0.000775,0.0,0.0
whole_cell,whole_cell_figure_1,40,371,False,14,9.790201944652196,14,18.029950790611764,16.87952835614916,16.847725465089635,0.9072544370511731,18.094592489917112,0.35642857142857143,0.19500714285714288,0.0,18.15592798606684,0.35312499999999997,0.1971607142857143,2.8571428571428574e-05
whole_cell,whole_cell_figure_1,41,42,False,18,53.212475633528264,18,13.885407543197003,12.541743775967994,13.70943341620556,0.1388888888888889,13.971255842855175,0.0003638888888888889,0.0,0.0,14.032039905200453,0.001797222222222222,0.0,0.0
whole_cell,whole_cell_figure_1,46,53,True,43,23.6528771615981,18,12.48741731914192,12.019263365545552,11.334086026943728,0.8947983344916393,12.591715499635493,0.002552777777777778,0.0,0.0,12.659899530269943,0.0062361111111111115,1.388888888888889e-05,0.0
whole_cell,whole_cell_figure_1,55,61,False,12,43.17547723935389,12,9.989891112752364,10.865561941042776,10.601277208931418,0.7862111915455525,10.064064170562775,0.0,0.0,0.0,10.114089265869069,0.0,0.0,0.0
whole_cell,whole_cell_figure_1,59,77,False,4,40.45858895705521,4,5.924879783882704,5.670608391712757,5.8533182537644395,0.125,6.109165123879079,0.0,0.0,0.0,6.233718041743674,0.0,0.0,0.0
