dataset,image,gt_id_1,gt_id_2,merged,pred_id_1,pred_id_2,interface_len_px,area_1,area_2,centroid_r,centroid_c,iface_mean_intensity,cell_mean_intensity,local_contrast,iface_fg_coverage,pair_fg_coverage
whole_cell,whole_cell_figure_1,8,9,True,17,17,60,270,446,16.8,15.3,91.8,103.83659217877096,12.03659217877096,0.9333333333333333,0.9064245810055865
whole_cell,whole_cell_figure_1,10,27,True,32,32,56,1422,141,35.625,221.875,106.44642857142857,99.20089571337172,-7.245532858056848,0.9285714285714286,0.8841970569417786
whole_cell,whole_cell_figure_1,10,31,True,32,32,17,1422,199,48.588235294117645,223.2941176470588,60.411764705882355,97.31030228254164,36.89853757665929,0.5294117647058824,0.8809376927822332
whole_cell,whole_cell_figure_1,12,14,False,2,11,23,135,365,15.565217391304348,338.30434782608694,76.56521739130434,102.016,25.45078260869566,0.782608695652174,0.76
whole_cell,whole_cell_figure_1,14,18,False,11,14,19,365,256,17.842105263157894,369.57894736842104,54.68421052631579,93.9951690821256,39.31095855580981,0.5263157894736842,0.7181964573268921
whole_cell,whole_cell_figure_1,15,18,False,18,14,14,380,256,18.5,404.5,58.42857142857143,94.31761006289308,35.88903863432165,0.5714285714285714,0.7955974842767296
whole_cell,whole_cell_figure_1,16,17,False,15,21,16,276,367,14.75,481.25,53.625,93.84447900466563,40.21947900466563,0.375,0.7838258164852255
whole_cell,whole_cell_figure_1,16,19,False,15,22,52,276,264,18.192307692307693,457.3076923076923,67.0576923076923,87.8425925925926,20.78490028490029,0.6730769230769231,0.737037037037037
whole_cell,whole_cell_figure_1,20,25,False,20,30,19,246,269,30.157894736842106,269.63157894736844,47.421052631578945,83.11456310679611,35.69351047521717,0.3684210526315789,0.6893203883495146
whole_cell,whole_cell_figure_1,24,25,False,27,30,21,255,269,36.0,278.23809523809524,63.523809523809526,87.98664122137404,24.462831697564518,0.8095238095238095,0.7080152671755725
whole_cell,whole_cell_figure_1,27,31,True,32,32,26,141,199,42.03846153846154,229.03846153846155,115.6923076923077,114.0264705882353,-1.665837104072395,0.9230769230769231,0.8941176470588236
whole_cell,whole_cell_figure_1,31,34,False,32,39,22,199,237,50.68181818181818,240.1818181818182,72.54545454545455,107.77752293577981,35.23206839032527,0.7727272727272727,0.8440366972477065
whole_cell,whole_cell_figure_1,35,38,False,38,42,12,335,261,55.75,403.25,51.5,82.54530201342281,31.045302013422813,0.3333333333333333,0.6459731543624161
whole_cell,whole_cell_figure_1,40,371,False,45,49,14,450,314,61.642857142857146,117.42857142857143,90.28571428571429,100.07591623036649,9.790201944652196,0.8571428571428571,0.7709424083769634
whole_cell,whole_cell_figure_1,41,42,False,51,50,18,235,278,69.83333333333333,324.8333333333333,32.22222222222222,85.43469785575049,53.212475633528264,0.0,0.6374269005847953
whole_cell,whole_cell_figure_1,46,53,True,55,55,43,353,271,79.3953488372093,12.279069767441861,81.20930232558139,104.86217948717949,23.6528771615981,0.9302325581395349,0.875
whole_cell,whole_cell_figure_1,48,52,False,56,61,8,289,219,84.0,285.5,36.75,81.25984251968504,44.50984251968504,0.0,0.6496062992125984
whole_cell,whole_cell_figure_1,55,61,False,60,69,12,373,308,90.5,99.0,56.166666666666664,99.34214390602055,43.17547723935389,0.6666666666666666,0.8164464023494861
whole_cell,whole_cell_figure_1,57,61,False,66,69,57,320,308,95.94736842105263,75.19298245614036,77.10526315789474,107.70382165605096,30.598558498156223,0.8421052631578947,0.8662420382165605
whole_cell,whole_cell_figure_1,59,77,False,72,83,4,283,369,108.0,324.5,51.0,91.45858895705521,40.45858895705521,0.25,0.7223926380368099
whole_cell,whole_cell_figure_1,61,71,False,69,66,38,308,285,102.57894736842105,73.44736842105263,62.89473684210526,104.41315345699832,41.518416614893056,0.6842105263157895,0.8347386172006745
whole_cell,whole_cell_figure_1,62,68,False,80,79,54,389,478,110.37037037037037,438.1296296296296,100.22222222222223,96.05305651672434,-4.169165705497889,0.9444444444444444,0.8604382929642446
whole_cell,whole_cell_figure_1,62,78,False,80,94,50,389,610,113.58,449.58,117.28,111.52852852852853,-5.751471471471476,0.96,0.8928928928928929
whole_cell,whole_cell_figure_1,64,66,False,70,73,9,121,248,102.88888888888889,554.1111111111111,36.22222222222222,82.62872628726288,46.40650406504066,0.0,0.6449864498644986
whole_cell,whole_cell_figure_1,65,73,False,71,82,13,246,268,104.84615384615384,517.5384615384615,45.61538461538461,81.75291828793775,36.13753367255313,0.15384615384615385,0.669260700389105
whole_cell,whole_cell_figure_1,67,76,True,78,78,39,209,349,106.61538461538461,222.35897435897436,57.41025641025641,94.87096774193549,37.46071133167908,0.5897435897435898,0.7544802867383512
whole_cell,whole_cell_figure_1,67,374,True,78,78,36,209,143,103.33333333333333,208.44444444444446,142.41666666666666,117.9971590909091,-24.419507575757564,1.0,0.8522727272727273
whole_cell,whole_cell_figure_1,68,81,True,79,79,73,478,165,111.12328767123287,426.2191780821918,105.01369863013699,93.07620528771385,-11.937493342423139,0.9315068493150684,0.8491446345256609
whole_cell,whole_cell_figure_1,68,91,False,79,97,12,478,324,121.25,437.75,56.0,93.99875311720699,37.99875311720699,0.4166666666666667,0.844139650872818
whole_cell,whole_cell_figure_1,72,89,True,87,87,44,366,421,121.9090909090909,18.40909090909091,128.54545454545453,101.04320203303685,-27.502252512417684,1.0,0.9161372299872935
whole_cell,whole_cell_figure_1,75,93,False,86,102,12,520,381,124.91666666666667,139.33333333333334,59.25,96.09544950055493,36.845449500554935,0.8333333333333334,0.7891231964483907
whole_cell,whole_cell_figure_1,78,91,False,94,97,33,610,324,128.93939393939394,446.8181818181818,68.03030303030303,110.84154175588866,42.811238725585625,0.8484848484848485,0.8811563169164882
whole_cell,whole_cell_figure_1,79,81,False,84,79,29,297,165,113.3103448275862,415.0,55.6551724137931,95.62337662337663,39.968204209583526,0.5862068965517241,0.8181818181818182
