dataset,gt_id_1,gt_id_2,merged,seed,interface_len_px,gradmu_q2_interface,gradmu_q2_interior,gradmu_q2_contrast,gradmu_q15_interface,gradmu_q15_interior,gradmu_q15_contrast,gradmu_contrast_gain_q15_minus_q2,grad_raw_interface,grad_raw_interior,grad_raw_contrast,grad_fastgp_interface,grad_fastgp_interior,grad_fastgp_contrast
nuclei,260,261,False,211,27,2.3947357814097465,2.039826234812084,0.3549095465976624,2.4123376184088303,1.922383077749634,0.4899545406591963,0.13504499406153392,4.623543690552054,4.606664467521258,0.01687922303079681,2.3224891443741584,2.1142814147728144,0.20820772960134404
nuclei,125,126,False,73,35,4.734283277442654,2.3244540294958917,2.4098292479467625,4.516275019173749,2.405866888681058,2.110408130492691,-0.2994211174540715,8.134497800826367,4.553163042549045,3.581334758277322,4.647982290422143,3.0192073294761177,1.6287749609460254
nuclei,125,126,False,137,35,5.09318552418696,2.5046748588534897,2.58851066533347,5.0547722260942995,2.4567752757790973,2.5979969503152023,0.009486284981732318,8.134497800826367,4.553163042549045,3.581334758277322,4.647982290422143,3.0192073294761177,1.6287749609460254
nuclei,125,126,False,211,35,4.6368616826472415,2.3986271094583564,2.238234573188885,4.715258441540906,2.396741229805789,2.3185172117351165,0.08028263854623141,8.134497800826367,4.553163042549045,3.581334758277322,4.647982290422143,3.0192073294761177,1.6287749609460254
nuclei,294,299,False,73,86,1.8247262748806834,1.403684515734091,0.4210417591465925,1.6216278207771637,1.5373246425997287,0.08430317817743505,-0.33673858096915743,6.36880653077866,4.974552825919119,1.3942537048595414,1.7295192567884754,1.811247233605956,-0.08172797681748056
nuclei,294,299,False,137,86,1.7513060090195536,1.4646893081935648,0.2866167008259888,1.63427961470248,1.3797736243639587,0.2545059903385214,-0.03211071048746739,6.36880653077866,4.974552825919119,1.3942537048595414,1.7295192567884754,1.811247233605956,-0.08172797681748056
nuclei,294,299,False,211,86,1.7264647731267684,1.5119282730126686,0.21453650011409975,1.5104588184776342,1.6156077270569211,-0.10514890857928694,-0.3196854086933867,6.36880653077866,4.974552825919119,1.3942537048595414,1.7295192567884754,1.811247233605956,-0.08172797681748056
whole_cell,130,379,True,73,4,12.059741719165029,12.050915634590039,0.008826084574989679,14.216088945687174,11.962430900436956,2.2536580452502175,2.244831960675228,19.04898614995126,13.077196582203992,5.971789567747269,19.083965641432037,12.79077551495021,6.293190126481827
whole_cell,130,379,True,137,4,11.93445349446829,12.122176822341661,-0.1877233278733712,13.11306695071875,11.92910899521821,1.1839579555005404,1.3716812833739116,19.04898614995126,13.077196582203992,5.971789567747269,19.083965641432037,12.79077551495021,6.293190126481827
whole_cell,130,379,True,211,4,13.010425291455533,11.653040718674005,1.3573845727815286,12.54910297061891,11.16804338597718,1.3810595846417293,0.023675011860200712,19.04898614995126,13.077196582203992,5.971789567747269,19.083965641432037,12.79077551495021,6.293190126481827
whole_cell,179,182,True,73,32,18.326237148455306,9.047851049441727,9.278386099013579,19.224273016230327,8.426979018409122,10.797293997821205,1.5189078988076261,22.347501005824757,10.223756903266652,12.123744102558105,21.978033674682642,9.972713825289626,12.005319849393016
whole_cell,179,182,True,137,32,19.14738866972828,8.372724826816818,10.774663842911462,17.997045221335227,8.61874600170207,9.378299219633158,-1.3963646232783038,22.347501005824757,10.223756903266652,12.123744102558105,21.978033674682642,9.972713825289626,12.005319849393016
whole_cell,179,182,True,211,32,18.204399824342275,8.642856838461396,9.561542985880878,17.7895885667609,9.040136957918286,8.749451608842616,-0.8120913770382625,22.347501005824757,10.223756903266652,12.123744102558105,21.978033674682642,9.972713825289626,12.005319849393016
whole_cell,1,12,True,73,44,15.862297392612247,15.7771410044532,0.0851563881590458,15.633561556127432,15.51387337741634,0.11968817871109216,0.03453179055204636,20.549016689797927,15.763767998204608,4.785248691593319,20.055871312080896,15.58667312935279,4.469198182728107
whole_cell,1,12,True,137,44,15.423234883446975,15.816592987065473,-0.3933581036184979,14.675807335187919,15.445259768789672,-0.769452433601753,-0.3760943299832551,20.549016689797927,15.763767998204608,4.785248691593319,20.055871312080896,15.58667312935279,4.469198182728107
whole_cell,1,12,True,211,44,16.176691372728722,15.375374682078288,0.8013166906504345,16.63601695097978,16.449391384468154,0.18662556651162632,-0.6146911241388082,20.549016689797927,15.763767998204608,4.785248691593319,20.055871312080896,15.58667312935279,4.469198182728107
whole_cell,133,141,True,73,83,9.989714098524502,21.59604681554685,-11.606332717022347,9.223885642469435,17.756982942692673,-8.533097300223238,3.0732354167991094,14.18384805778145,11.096588482297603,3.0872595754838468,13.709857707705996,11.35446437062883,2.3553933370771656
whole_cell,133,141,True,137,83,10.20320469896732,14.60904958339327,-4.4058448844259495,9.908353933048987,17.21029225227002,-7.301938319221032,-2.896093434795082,14.18384805778145,11.096588482297603,3.0872595754838468,13.709857707705996,11.35446437062883,2.3553933370771656
whole_cell,133,141,True,211,83,8.533546074817945,16.416877005343064,-7.883330930525119,9.182885158441916,17.14664517538877,-7.963760016946853,-0.0804290864217343,14.18384805778145,11.096588482297603,3.0872595754838468,13.709857707705996,11.35446437062883,2.3553933370771656
whole_cell,59,77,False,73,4,4.25508933861158,9.651853126533828,-5.396763787922248,4.850234473704357,10.357306419772812,-5.5070719460684545,-0.1103081581462062,5.670608391712757,12.265162892328735,-6.5945545006159785,5.8533182537644395,12.084245247046796,-6.230926993282357
whole_cell,59,77,False,137,4,7.991875136104489,11.678897117461993,-3.6870219813575043,7.307588032591761,11.891294157895384,-4.583706125303623,-0.8966841439461186,5.670608391712757,12.265162892328735,-6.5945545006159785,5.8533182537644395,12.084245247046796,-6.230926993282357
