dataset,gt_id_1,gt_id_2,merged,interface_len_px,local_contrast,seed,loss_q2,loss_q15,finite,max_abs_delta,mean_abs_delta,rmse_between,corr_between,mc_se_mean,mc_se_max,snr_mean,snr_max,nonuniform_sd_over_mean,mean_absdelta_interface,n_px_interface,mean_absdelta_interior,n_px_interior,mean_absdelta_background,n_px_background,mean_absdelta_patch_edge,n_px_patch_edge,localization_ratio,edge_over_interface
whole_cell,133,141,True,83,-2.647221798586756,73,0.16602962982153777,0.3336010138057106,True,26.25093276772286,5.677107610671788,7.665726887131559,0.9857523904311876,0.33674938501978086,1.0486272113005355,16.858553759016697,25.03361774787987,0.9073456167887956,8.029547675164938,83,9.806244569983477,4,,0,3.8363999476980823,184,0.8188198466661808,0.4777853128095758
whole_cell,133,141,True,83,-2.647221798586756,137,0.19114325778101984,0.21548288732584947,True,11.132592880532215,2.8791838099525537,3.75991816494481,0.9966271719208232,0.32139481347046744,0.8997743265186703,8.958401596039192,12.372650066162134,0.8398616421306228,3.594591937931858,83,6.302946295837877,4,,0,2.4798525431876737,184,0.5703034373473134,0.6898843000839902
whole_cell,133,141,True,83,-2.647221798586756,211,0.2759735539855297,0.36533600517949677,True,21.1158088437612,4.367879669468126,6.03426587683592,0.9910849293561105,0.37610583746491705,1.253244436386918,11.613432269249369,16.848914888972267,0.9531881371242833,5.854774021621953,83,1.850593273605707,4,,0,3.376398772180494,184,3.1637281433615483,0.576691561401225
whole_cell,59,77,False,4,40.45858895705521,73,-0.00921019240093967,-0.015395025372363851,True,15.497315786396584,1.6968147505954465,2.418270442127939,0.99875307214968,0.226990651981506,0.8176910894674089,7.475262684974772,18.95253107929858,1.0154529751762735,5.263558439440278,4,2.0399685281684015,113,0.6801561662958185,110,1.9072433099272987,184,2.5802155115433063,0.3623486528877816
whole_cell,59,77,False,4,40.45858895705521,137,-0.03294779745424122,-0.04578771708538898,True,10.500414179081254,2.153958079979217,3.0392186827243615,0.9979400007893522,0.19794579837949772,1.0042313796174906,10.881554938840841,10.456170153815386,0.995439509687577,1.5807414596895004,4,2.7547892615618843,113,1.137475610588226,110,1.8516710299923904,184,0.5738157476311878,1.1713939801111484
whole_cell,59,77,False,4,40.45858895705521,211,0.045288005458727985,-0.0484959359630149,True,11.831555874818704,2.7441345163548574,3.588572049114917,0.9976651508023148,0.2359120630352456,1.4542981585128762,11.63202288619247,8.135577842522551,0.8427001088686149,3.710535588861198,4,2.836827985060012,113,1.4791018137220633,110,2.6029673745582818,184,1.3079875157755478,0.7015071846695747
whole_cell,189,198,False,15,19.422812846068652,73,0.16103865638508924,0.19826020211969175,True,19.23389005122675,3.7308424233803756,5.042471215265866,0.9942909263642506,0.22373767738877945,0.6956430992457794,16.6750744305683,27.649077626271655,0.9092438911339759,10.64416092518565,15,3.646424074307216,160,1.2052820811256253,23,3.1272446273669505,184,2.9190683004164657,0.2937990743795906
whole_cell,189,198,False,15,19.422812846068652,137,0.11565927551165868,0.2410702542644974,True,27.20958506966703,4.779650511792502,6.8624179376174075,0.9901803674597182,0.24342538895481294,0.7230004698333838,19.63497124237829,37.6342564147123,1.0302421650678044,8.813656822149767,15,4.28534227394066,160,1.9728243111130928,23,3.6601141463621936,184,2.0566984522440532,0.41527758797731856
whole_cell,189,198,False,15,19.422812846068652,211,0.1668124791074421,0.19841380998620178,True,14.357595486523579,3.275069636258554,4.353322898650238,0.9972405334067884,0.2732090968707609,0.9415169939562298,11.987410645436144,15.249427868734836,0.8757020533257496,6.2772622447742625,15,3.4614401476109804,160,0.6381010871201059,23,3.0458855487933474,184,1.8134828213357115,0.48522515549338513
whole_cell,218,388,False,24,20.86440677966101,73,0.18313091193075354,0.2934118134940379,True,20.958722523061155,3.0256284108095404,4.226333261699384,0.9963298752131882,0.3762248918420956,1.01392745230683,8.04207397334948,20.67083051689454,0.9752821891633651,1.6185034741360376,24,2.237660370056363,78,1.5050095792394953,9,3.548480752605337,184,0.7233016662377902,2.1924455580792173
whole_cell,218,388,False,24,20.86440677966101,137,0.18616649025412374,0.2864625231782172,True,22.736411218938144,3.490463696448752,4.835210966259167,0.9950544842304745,0.3930815541724669,1.1765194791744407,8.879744316156057,19.325146435222816,0.9586209773554949,6.6114489775627705,24,3.3047510995409097,78,1.8446185751018902,9,2.9152329086373006,184,2.0005890847517143,0.44093706516237313
whole_cell,218,388,False,24,20.86440677966101,211,0.18922182383516334,0.30914436327821593,True,14.635911313278456,3.414252713878553,4.538523494567362,0.99626146340905,0.41440214879603315,1.1215350300848628,8.23898409744741,13.049892264329012,0.8757883813647466,2.6221398686724533,24,3.0986528555806787,78,2.0194611055492024,9,3.401026736184895,184,0.8462193058993283,1.297042456360949
whole_cell,253,256,False,57,10.835157584226051,73,-0.002383930398874093,-0.02293489395463557,True,6.290329181230831,1.287887815339727,1.6554409958579923,0.9990754056999654,0.21344254655648295,0.6466542735594704,6.033885165434509,9.727499590478363,0.8076095558762382,1.6901337351040464,57,1.6070899444886335,35,0.43936374517942794,27,1.3520813204174806,184,1.0516733932037867,0.7999848132338742
whole_cell,253,256,False,57,10.835157584226051,137,0.027583913994912067,0.10287273076148887,True,13.405141861751673,2.6783585979595426,3.720575930812257,0.9959135964370373,0.23325992192857747,0.8335035770281125,11.482292267848898,16.082884622461005,0.9641936257630297,4.055576418420531,57,2.650492841184691,35,0.6493952049085244,27,1.3969258732497867,184,1.5301216269679905,0.3444457036748004
whole_cell,253,256,False,57,10.835157584226051,211,0.017660360079866714,0.027431802520255844,True,6.279990227424477,1.6202149783739561,2.1247543856409217,0.998429273476063,0.243910217755752,0.7858568431184604,6.642669558010952,7.991264926197034,0.8483968320916101,2.457550993359035,57,3.437130188622284,35,0.5390295369926031,27,1.4319255402531739,184,0.7150008461984104,0.5826636127277206
