dataset,arm,pct,ap50,fg_dice
whole_cell,qep_q2,0.2,0.12472885032537961,0.8513884515250569
whole_cell,qep_q2,0.25,0.1262135922330097,0.7826586022692155
whole_cell,qep_q2,0.3,0.09366754617414248,0.6956939638600538
whole_cell,qep_q2,0.35,0.05383580080753701,0.6041936318923117
whole_cell,qep_q2,0.4,0.028358208955223882,0.509225183239941
whole_cell,qep_q2,0.45,0.0064,0.40973425099614713
whole_cell,qep_q2,0.5,0.0035460992907801418,0.31232424416245785
whole_cell,qep_q2,0.55,0.0,0.2314924825815915
whole_cell,qep_q2,0.6,0.0,0.16098934214240485
whole_cell,qep_q2,0.65,0.0,0.1021287319750821
whole_cell,qep_q2,0.7,0.0,0.05929111599700403
whole_cell,qep_q2,0.75,0.0,0.03040656520246522
whole_cell,qep_q2,0.8,0.0,0.012274594558923003
whole_cell,qep_q2,0.85,0.0,0.004240587056270602
whole_cell,qep_q2,0.9,0.0,0.0011447437184262262
whole_cell,qep_q2,0.95,0.0,0.00028216001792545994
whole_cell,qep_q1.5,0.1,0.08776167471819646,0.760938323668951
whole_cell,qep_q1.5,0.15,0.1222879684418146,0.8727482056092073
whole_cell,qep_q1.5,0.2,0.1252847380410023,0.8349857445047365
whole_cell,qep_q1.5,0.25,0.11097099621689786,0.7435106616951302
whole_cell,qep_q1.5,0.3,0.07317073170731707,0.6367072281724893
whole_cell,qep_q1.5,0.35,0.033576642335766425,0.5266055604616462
whole_cell,qep_q1.5,0.4,0.0109717868338558,0.41351852095186786
whole_cell,qep_q1.5,0.45,0.0,0.3039688453373448
whole_cell,qep_q1.5,0.5,0.0,0.21537254669784792
whole_cell,qep_q1.5,0.55,0.0,0.13688189414611146
whole_cell,qep_q1.5,0.6,0.0,0.07921249800733302
whole_cell,qep_q1.5,0.65,0.0,0.040049777546422444
whole_cell,qep_q1.5,0.7,0.0,0.016267391125380753
whole_cell,qep_q1.5,0.75,0.0,0.004984145119760231
whole_cell,qep_q1.5,0.8,0.0,0.001509458999941944
whole_cell,qep_q1.5,0.85,0.0,0.000315350080082323
whole_cell,qep_q1.5,0.9,0.0,9.959498041298719e-05
whole_cell,qep_q1.5,0.95,0.0,6.639775575585545e-05
