dataset,source,seeding,min_distance,ap50,ap75,n_pred,n_true,mean_matched_iou,imagej_ap50
nuclei,gp,peak_md3,3.0,0.12763157894736843,0.031287605294825514,527,330,0.38664669426240766,0.4586
nuclei,gp,peak_md5,5.0,0.23355263157894737,0.059322033898305086,420,330,0.4396257065496262,0.4586
nuclei,gp,peak_md7,7.0,0.3217726396917148,0.08031496062992126,356,330,0.47427348076701537,0.4586
nuclei,gp,peak_md9,9.0,0.3644067796610169,0.09710391822827939,314,330,0.4813107047098261,0.4586
nuclei,gp,peak_md12,12.0,0.38565022421524664,0.10357142857142858,288,330,0.4789155500291092,0.4586
nuclei,gp,peak_md15,15.0,0.37986270022883295,0.10237659963436929,273,330,0.4704379825435028,0.4586
nuclei,qep_q2,markers_none,,0.025540275049115914,0.002881844380403458,714,330,0.2643790689048084,0.4586
nuclei,qep_q2,peak_md3,3.0,0.13025780189959293,0.028395061728395062,503,330,0.37591567940605586,0.4586
nuclei,qep_q2,peak_md5,5.0,0.21710526315789475,0.04815864022662889,410,330,0.42215914492686596,0.4586
nuclei,qep_q2,peak_md7,7.0,0.30842911877394635,0.06386292834890965,353,330,0.4559641754984238,0.4586
nuclei,qep_q2,peak_md9,9.0,0.33264462809917356,0.075,315,330,0.4590017374236414,0.4586
nuclei,qep_q2,peak_md12,12.0,0.3576158940397351,0.07894736842105263,285,330,0.4587590048464735,0.4586
nuclei,qep_q2,peak_md15,15.0,0.3738532110091743,0.0812274368231047,269,330,0.45509233094090396,0.4586
nuclei,qep_q1.5,markers_none,,0.034658511722731905,0.003956478733926805,685,330,0.2580542296211626,0.4586
nuclei,qep_q1.5,peak_md3,3.0,0.14954682779456194,0.03537414965986395,431,330,0.3611148398876575,0.4586
nuclei,qep_q1.5,peak_md5,5.0,0.22262118491921004,0.0640625,351,330,0.39413252860089015,0.4586
nuclei,qep_q1.5,peak_md7,7.0,0.268389662027833,0.07588532883642496,308,330,0.4086003483481586,0.4586
nuclei,qep_q1.5,peak_md9,9.0,0.3086680761099366,0.0840630472854641,289,330,0.41682617693582036,0.4586
nuclei,qep_q1.5,peak_md12,12.0,0.32516703786191536,0.08775137111517367,265,330,0.41771749935235436,0.4586
nuclei,qep_q1.5,peak_md15,15.0,0.3418013856812933,0.0900562851782364,251,330,0.4139823851468572,0.4586
whole_cell,ORACLE_foreground,markers_none,,0.2308598351001178,0.1140724946695096,642,403,0.5474511858808276,0.3416
whole_cell,ORACLE_foreground,peak_md3,3.0,0.3976945244956772,0.22784810126582278,567,403,0.681060188752429,0.3416
whole_cell,ORACLE_foreground,peak_md5,5.0,0.5794392523364486,0.352,442,403,0.7415590331431334,0.3416
whole_cell,ORACLE_foreground,peak_md7,7.0,0.6442105263157895,0.40467625899280574,378,403,0.7431287007757749,0.3416
whole_cell,ORACLE_foreground,peak_md9,9.0,0.676605504587156,0.4418145956607495,328,403,0.7323515456443618,0.3416
whole_cell,ORACLE_foreground,peak_md12,12.0,0.6004672897196262,0.37,282,403,0.6635960246833228,0.3416
whole_cell,ORACLE_foreground,peak_md15,15.0,0.45977011494252873,0.29065040650406504,232,403,0.5633170476425101,0.3416
whole_cell,raw,markers_none,,0.12472406181015452,0.012922465208747515,616,403,0.3792647389032144,0.3416
whole_cell,raw,peak_md3,3.0,0.22989949748743718,0.044823906083244394,576,403,0.4886396302660587,0.3416
whole_cell,raw,peak_md5,5.0,0.3814102564102564,0.06683168316831684,459,403,0.5443177920439829,0.3416
whole_cell,raw,peak_md7,7.0,0.4542056074766355,0.08055555555555556,375,403,0.5454082882249587,0.3416
whole_cell,raw,peak_md9,9.0,0.4678714859437751,0.08296296296296296,328,403,0.5282694992622254,0.3416
whole_cell,raw,peak_md12,12.0,0.4045643153526971,0.07120253164556962,274,403,0.4733738574774951,0.3416
whole_cell,raw,peak_md15,15.0,0.33970276008492567,0.0587248322147651,228,403,0.411515178771207,0.3416
whole_cell,gp_legacy,markers_none,,0.11583421891604676,0.01842870999030068,647,403,0.3997815738283223,0.3416
whole_cell,gp_legacy,peak_md3,3.0,0.23243243243243245,0.05433526011560694,509,403,0.46857442522759196,0.3416
whole_cell,gp_legacy,peak_md5,5.0,0.29213483146067415,0.07047872340425532,402,403,0.4771498914711781,0.3416
whole_cell,gp_legacy,peak_md7,7.0,0.313588850174216,0.08333333333333333,351,403,0.46857121412152136,0.3416
whole_cell,gp_legacy,peak_md9,9.0,0.3302238805970149,0.08358662613981763,310,403,0.454590391712812,0.3416
whole_cell,gp_legacy,peak_md12,12.0,0.2938856015779093,0.08429752066115702,253,403,0.4103014754041419,0.3416
whole_cell,gp_legacy,peak_md15,15.0,0.23107569721115537,0.07105719237435008,215,403,0.358734804506699,0.3416
whole_cell,gp,markers_none,,0.1157556270096463,0.017595307917888565,638,403,0.37463698837931747,0.3416
whole_cell,gp,peak_md3,3.0,0.21532846715328466,0.040625,596,403,0.471926421070179,0.3416
whole_cell,gp,peak_md5,5.0,0.33282674772036475,0.06690997566909976,474,403,0.5168751187581894,0.3416
whole_cell,gp,peak_md7,7.0,0.39482758620689656,0.07723035952063914,406,403,0.5263330569638544,0.3416
whole_cell,gp,peak_md9,9.0,0.41527001862197394,0.0764872521246459,357,403,0.5116306047312648,0.3416
whole_cell,gp,peak_md12,12.0,0.3911290322580645,0.07476635514018691,287,403,0.4637830846065413,0.3416
