dataset,image,role,arm,img_min,img_max,img_mean,img_std,q01,q05,q25,q50,q75,q95,q99,c1_threshold,c1_fraction_of_max,c1_percentile_of_distribution,c1_collapsed,n_components,fg_dice,fg_iou,fg_precision,fg_recall,fg_fraction,gt_fg_fraction,src
whole_cell,whole_cell_figure_2,heldout_candidate,gp,-12.1542387008667,294.08807373046875,37.952730081427205,35.80137906453232,16.80437068939209,18.435441780090333,20.431107997894287,22.312623023986816,36.46842956542969,120.21281433105466,186.3750105285646,58.81761474609375,0.2,85.00546875,False,94,0.7127308275538244,0.5536766068897885,0.9648621893398635,0.565070395029934,0.1499453125,0.2560328125,results/real_cellseg_round2_20260915/masks/whole_cell_whole_cell_figure_2_gp.npz
whole_cell,whole_cell_figure_2,heldout_candidate,qep_q2,-12.1542387008667,294.08807373046875,37.952730081427205,35.80137906453232,16.80437068939209,18.435441780090333,20.431107997894287,22.312623023986816,36.46842956542969,120.21281433105466,186.3750105285646,58.81761474609375,0.2,85.00546875,False,94,0.7127308275538244,0.5536766068897885,0.9648621893398635,0.565070395029934,0.1499453125,0.2560328125,results/real_cellseg_round2_20260915/masks/whole_cell_whole_cell_figure_2_qep_q2.npz
whole_cell,whole_cell_figure_2,heldout_candidate,qep_q1.5,-13.112749099731445,294.6717834472656,37.946080691223145,35.70841551855175,17.1365585899353,18.58759489059448,20.431634426116943,22.16140842437744,36.62809658050537,120.17384300231932,185.29927185058597,58.934356689453125,0.2,85.005,False,84,0.7130689799829888,0.554084849064842,0.9653009336445482,0.5653450180335773,0.14995,0.2560328125,results/real_cellseg_round2_20260915/masks/whole_cell_whole_cell_figure_2_qep_q1.5.npz
whole_cell,whole_cell_figure_3,heldout_candidate,raw,0.0,231.0,39.79737264673311,40.24418294038128,1.0,8.0,17.0,24.0,43.0,143.0,181.0,23.1,0.1,47.15669988925803,False,529,0.721920966115237,0.5648484537931387,0.5775292083617122,0.9625823014722577,0.5284330011074198,0.3170487264673311,results/real_cellseg_round2_20260915/masks/whole_cell_whole_cell_figure_3_raw.npz
whole_cell,whole_cell_figure_3,heldout_candidate,gp,-74.6440658569336,249.27085876464844,39.66879742335579,38.95942462052752,1.3521071386337282,7.32551429271698,17.0977840423584,24.459553718566895,45.228464126586914,133.71430358886712,178.51527359008793,57.33229751586914,0.23,80.32142857142858,False,328,0.7501306594395384,0.600167261566051,0.9793469238452989,0.6078607729789204,0.19678571428571429,0.3170487264673311,results/real_cellseg_round2_20260915/masks/whole_cell_whole_cell_figure_3_gp.npz
whole_cell,whole_cell_figure_3,heldout_candidate,qep_q2,-74.6440658569336,249.27085876464844,39.66879742335579,38.95942462052752,1.3521071386337282,7.32551429271698,17.0977840423584,24.459553718566895,45.228464126586914,133.71430358886712,178.51527359008793,57.33229751586914,0.23,80.32142857142858,False,328,0.7501306594395384,0.600167261566051,0.9793469238452989,0.6078607729789204,0.19678571428571429,0.3170487264673311,results/real_cellseg_round2_20260915/masks/whole_cell_whole_cell_figure_3_qep_q2.npz
whole_cell,whole_cell_figure_3,heldout_candidate,qep_q1.5,-42.90740203857422,253.03440856933594,39.66073766028373,38.37066934926973,1.5681806123256683,7.482690978050232,17.121551036834717,24.551036834716797,45.849806785583496,131.77880859375,175.61578811645515,55.667569885253904,0.22,79.48781838316722,False,305,0.7675178147268409,0.6227415080703445,0.9769199622081253,0.6320403779318535,0.2051218161683278,0.3170487264673311,results/real_cellseg_round2_20260915/masks/whole_cell_whole_cell_figure_3_qep_q1.5.npz
whole_cell,whole_cell_figure_4,heldout_candidate,raw,14.0,255.0,46.106556,19.68552376287875,28.0,31.0,36.0,40.0,46.0,89.0,123.0,66.3,0.26,88.7642,False,1488,0.699875681911878,0.5383144305315891,0.9745456487299524,0.5459912540077487,0.112358,0.200549,results/real_cellseg_round2_20260915/masks/whole_cell_whole_cell_figure_4_raw.npz
whole_cell,whole_cell_figure_4,heldout_candidate,gp,25.283592224121094,261.8444519042969,46.08441542634773,18.937316180176396,32.242507781982425,34.10321807861328,36.81202983856201,38.94962501525879,45.32127857208252,88.29978027343749,118.90653411865236,65.46111297607422,0.25,88.381,False,48,0.7097894480944879,0.5501345862085841,0.9674584731904639,0.5605064099048113,0.11619,0.200549,results/real_cellseg_round2_20260915/masks/whole_cell_whole_cell_figure_4_gp.npz
whole_cell,whole_cell_figure_4,heldout_candidate,qep_q2,25.283592224121094,261.8444519042969,46.08441542634773,18.937316180176396,32.242507781982425,34.10321807861328,36.81202983856201,38.94962501525879,45.32127857208252,88.29978027343749,118.90653411865236,65.46111297607422,0.25,88.381,False,48,0.7097894480944879,0.5501345862085841,0.9674584731904639,0.5605064099048113,0.11619,0.200549,results/real_cellseg_round2_20260915/masks/whole_cell_whole_cell_figure_4_qep_q2.npz
whole_cell,whole_cell_figure_4,heldout_candidate,qep_q1.5,24.711929321289062,261.8063659667969,46.083402350076675,18.943838240970408,32.30450771331787,34.15244483947754,36.816433906555176,38.90849304199219,45.32393836975098,88.32350463867185,118.89064117431641,65.45159149169922,0.25,88.37230000000001,False,47,0.709247347124289,0.5494835478696349,0.9662615994564703,0.5602321627133519,0.116277,0.200549,results/real_cellseg_round2_20260915/masks/whole_cell_whole_cell_figure_4_qep_q1.5.npz
whole_cell,whole_cell_figure_5,heldout_candidate,raw,6.0,255.0,44.591745,40.526803215341026,16.0,18.0,20.0,24.0,51.0,136.0,193.0,58.650000000000006,0.23,78.214,False,866,0.7046676560547536,0.5440052966704426,0.9655007803176352,0.5547894983937417,0.21786,0.379142,results/real_cellseg_round2_20260915/masks/whole_cell_whole_cell_figure_5_raw.npz
whole_cell,whole_cell_figure_5,heldout_candidate,gp,-55.09415054321289,286.3380126953125,44.70839857356341,39.955905574271796,15.736115255355834,17.886479663848878,20.32568883895874,24.824913024902344,51.649203300476074,135.07898178100584,188.8533853149415,62.99436279296875,0.22,79.4653,False,149,0.679992266749246,0.515142638653066,0.967747276561138,0.5241413507340258,0.205347,0.379142,results/real_cellseg_round2_20260915/masks/whole_cell_whole_cell_figure_5_gp.npz
whole_cell,whole_cell_figure_5,heldout_candidate,qep_q2,-55.09415054321289,286.3380126953125,44.70839857356341,39.955905574271796,15.736115255355834,17.886479663848878,20.32568883895874,24.824913024902344,51.649203300476074,135.07898178100584,188.8533853149415,62.99436279296875,0.22,79.4653,False,149,0.679992266749246,0.515142638653066,0.967747276561138,0.5241413507340258,0.205347,0.379142,results/real_cellseg_round2_20260915/masks/whole_cell_whole_cell_figure_5_qep_q2.npz
whole_cell,whole_cell_figure_5,heldout_candidate,qep_q1.5,-30.47311019897461,292.1424560546875,44.666804496439205,39.82519860906218,15.62356258392334,17.927968311309815,20.210604667663574,24.869352340698242,51.83823871612549,134.98399505615228,187.48510559082035,64.27134033203124,0.22,79.83109999999999,False,121,0.6728669785187086,0.5070079393907945,0.9688728686244664,0.5154031998565182,0.201689,0.379142,results/real_cellseg_round2_20260915/masks/whole_cell_whole_cell_figure_5_qep_q1.5.npz
