dataset,image,role,arm,threshold_rule,threshold,threshold_percentile,collapsed,n_components,fg_dice,fg_iou,fg_precision,fg_recall,fg_fraction,gt_fg_fraction
nuclei,nuclei_figure_4,heldout_candidate,raw,li,101.43638492361673,92.48989172149122,False,1782,0.8626316113539807,0.7584452143785189,0.9588228584464469,0.7839808994422787,0.07510108278508772,0.09184998629385965
nuclei,nuclei_figure_4,heldout_candidate,gp,li,91.92053365287677,90.43962445175438,False,211,0.8649246433239195,0.7619975521772739,0.8479445181176302,0.8825987204118558,0.09560375548245614,0.09184998629385965
nuclei,nuclei_figure_4,heldout_candidate,qep_q2,li,91.92053365287677,90.43962445175438,False,211,0.8649246433239195,0.7619975521772739,0.8479445181176302,0.8825987204118558,0.09560375548245614,0.09184998629385965
nuclei,nuclei_figure_4,heldout_candidate,qep_q1.5,li,92.06025709649728,90.48554002192982,False,212,0.8655458335242109,0.762962364722985,0.8505600172867073,0.8810691835630747,0.09514459978070175,0.09184998629385965
nuclei,nuclei_figure_5,heldout_candidate,raw,li,91.7602354069218,91.52889251708984,False,5480,0.8873116547535153,0.797448502578641,0.8930155585076441,0.8816801529432687,0.08471107482910156,0.0858001708984375
nuclei,nuclei_figure_5,heldout_candidate,gp,li,86.147156288868,90.15331268310547,False,133,0.8619486797296319,0.7573899914503484,0.8065084745762712,0.9255735372576916,0.09846687316894531,0.0858001708984375
nuclei,nuclei_figure_5,heldout_candidate,qep_q2,li,86.147156288868,90.15331268310547,False,133,0.8619486797296319,0.7573899914503484,0.8065084745762712,0.9255735372576916,0.09846687316894531,0.0858001708984375
nuclei,nuclei_figure_5,heldout_candidate,qep_q1.5,li,85.70383653578706,89.97039794921875,False,133,0.8562438504427681,0.7486244780185315,0.7943671078655105,0.9285746043037525,0.1002960205078125,0.0858001708984375
whole_cell,whole_cell_figure_1,development,raw,li,54.93502553437397,73.90836101882613,False,389,0.8274956339504017,0.7057505779175901,0.9426907038188512,0.7373881575671054,0.26091638981173865,0.33356035437430787
whole_cell,whole_cell_figure_1,development,gp,li,62.448615622708644,76.64645625692137,False,296,0.7880879732467596,0.6502848027328172,0.956859862719761,0.6699257980445211,0.23353543743078628,0.33356035437430787
whole_cell,whole_cell_figure_1,development,qep_q2,li,62.448615622708644,76.64645625692137,False,296,0.7880879732467596,0.6502848027328172,0.956859862719761,0.6699257980445211,0.23353543743078628,0.33356035437430787
whole_cell,whole_cell_figure_1,development,qep_q1.5,li,59.63957091701336,75.34357696567,False,271,0.8086531991352528,0.6787722924578186,0.9513131744124681,0.7032004780797132,0.2465642303433001,0.33356035437430787
whole_cell,whole_cell_figure_2,heldout_candidate,raw,li,54.74288962635998,83.93468750000001,False,516,0.7405157511465095,0.5879515776561728,0.9603376840631018,0.6025838973276131,0.160653125,0.2560328125
whole_cell,whole_cell_figure_2,heldout_candidate,gp,li,60.207101298374454,85.356875,False,91,0.703168372952554,0.5422202530281348,0.9663237867599983,0.5526635379986696,0.14643125,0.2560328125
whole_cell,whole_cell_figure_2,heldout_candidate,qep_q2,li,60.207101298374454,85.356875,False,91,0.703168372952554,0.5422202530281348,0.9663237867599983,0.5526635379986696,0.14643125,0.2560328125
whole_cell,whole_cell_figure_2,heldout_candidate,qep_q1.5,li,60.271515762213,85.3446875,False,80,0.7038714560167666,0.5430568281859178,0.9667782587372327,0.5533836605415565,0.146553125,0.2560328125
whole_cell,whole_cell_figure_3,heldout_candidate,raw,li,54.94379621346405,80.15227021040975,False,389,0.7553810792232343,0.6069175605588588,0.9810154833310085,0.614130529698388,0.19847729789590254,0.3170487264673311
whole_cell,whole_cell_figure_3,heldout_candidate,gp,li,63.715649301271355,82.44795127353267,False,334,0.7023988848670158,0.5413057037909765,0.9855831414240197,0.5456260151242599,0.1755204872646733,0.3170487264673311
whole_cell,whole_cell_figure_3,heldout_candidate,qep_q2,li,63.715649301271355,82.44795127353267,False,334,0.7023988848670158,0.5413057037909765,0.9855831414240197,0.5456260151242599,0.1755204872646733,0.3170487264673311
whole_cell,whole_cell_figure_3,heldout_candidate,qep_q1.5,li,60.33353653330545,81.19019933554817,False,316,0.7319014134682312,0.5771644422930641,0.9827791760498079,0.5830611781553992,0.18809800664451828,0.3170487264673311
whole_cell,whole_cell_figure_4,heldout_candidate,raw,li,58.83743327815185,85.78710000000001,False,2367,0.7794372559662424,0.6385884378138,0.9396252700011961,0.6659120713641056,0.142129,0.200549
whole_cell,whole_cell_figure_4,heldout_candidate,gp,li,56.419268620668376,84.83760000000001,False,60,0.7921561278121833,0.655843148317935,0.9199599008072601,0.6955307680417254,0.151624,0.200549
whole_cell,whole_cell_figure_4,heldout_candidate,qep_q2,li,56.419268620668376,84.83760000000001,False,60,0.7921561278121833,0.655843148317935,0.9199599008072601,0.6955307680417254,0.151624,0.200549
whole_cell,whole_cell_figure_4,heldout_candidate,qep_q1.5,li,56.55563048630434,84.8807,False,56,0.7900961500190481,0.6530239159347141,0.9190570992043282,0.6928730634408549,0.151193,0.200549
whole_cell,whole_cell_figure_5,heldout_candidate,raw,li,56.10153892038043,77.4868,False,871,0.7182470203914119,0.5603630588873252,0.9639189453298509,0.5723686639834152,0.225132,0.379142
whole_cell,whole_cell_figure_5,heldout_candidate,gp,li,66.05901309970713,80.4196,False,144,0.660851627805046,0.49348648852245247,0.9702406488120774,0.5010708388941346,0.195804,0.379142
whole_cell,whole_cell_figure_5,heldout_candidate,qep_q2,li,66.05901309970713,80.4196,False,144,0.660851627805046,0.49348648852245247,0.9702406488120774,0.5010708388941346,0.195804,0.379142
whole_cell,whole_cell_figure_5,heldout_candidate,qep_q1.5,li,63.57410518848731,79.60730000000001,False,123,0.6772954830388856,0.5120535042814836,0.9682631529910213,0.5207943198062995,0.203927,0.379142
