rule,rule_family,params,dataset,image,arm,threshold,collapsed,n_components,fg_dice,fg_iou,fg_precision,fg_recall,fg_fraction,gt_fg_fraction
li,li,{},nuclei,nuclei_figure_1,raw,178.67464105775124,False,11884,0.8393101933871858,0.7231132629970317,0.8632139803100402,0.8166946030270844,0.21014416626118754,0.22211409445452
li,li,{},nuclei,nuclei_figure_1,gp,177.7922959755249,False,240,0.8568645033689786,0.7495738745706672,0.8654813096769824,0.8484175849707913,0.21773491986257942,0.22211409445452
li,li,{},nuclei,nuclei_figure_1,qep_q2,177.7922959755249,False,240,0.8568645033689786,0.7495738745706672,0.8654813096769824,0.8484175849707913,0.21773491986257942,0.22211409445452
li,li,{},nuclei,nuclei_figure_1,qep_q1.5,177.76537073617223,False,234,0.8558432192317742,0.7480121899527895,0.8624652940160353,0.8493220592140202,0.21872926527181846,0.22211409445452
li,li,{},whole_cell,whole_cell_figure_1,raw,54.93502553437397,False,389,0.8274956339504017,0.7057505779175901,0.9426907038188512,0.7373881575671054,0.26091638981173865,0.33356035437430787
li,li,{},whole_cell,whole_cell_figure_1,gp,62.448615622708644,False,296,0.7880879732467596,0.6502848027328172,0.956859862719761,0.6699257980445211,0.23353543743078628,0.33356035437430787
li,li,{},whole_cell,whole_cell_figure_1,qep_q2,62.448615622708644,False,296,0.7880879732467596,0.6502848027328172,0.956859862719761,0.6699257980445211,0.23353543743078628,0.33356035437430787
li,li,{},whole_cell,whole_cell_figure_1,qep_q1.5,59.63957091701336,False,271,0.8086531991352528,0.6787722924578186,0.9513131744124681,0.7032004780797132,0.2465642303433001,0.33356035437430787
yen,yen,{},nuclei,nuclei_figure_1,raw,183.80859375,False,5379,0.8210062993531537,0.696361904989581,0.9460900538070957,0.7251352562400425,0.17024041226168884,0.22211409445452
yen,yen,{},nuclei,nuclei_figure_1,gp,183.22385521233082,False,245,0.8263117659323094,0.7040300328039696,0.935487762659589,0.7399553571428571,0.17568857728432197,0.22211409445452
yen,yen,{},nuclei,nuclei_figure_1,qep_q2,183.22385521233082,False,245,0.8263117659323094,0.7040300328039696,0.935487762659589,0.7399553571428571,0.17568857728432197,0.22211409445452
yen,yen,{},nuclei,nuclei_figure_1,qep_q1.5,183.45491848886013,False,247,0.8232595502435446,0.6996101395290106,0.9346329428881697,0.7356030934678705,0.17481495407027323,0.22211409445452
yen,yen,{},whole_cell,whole_cell_figure_1,raw,72.904296875,False,416,0.7185398856663345,0.5607196647239866,0.9759787997948367,0.5685662588602447,0.1943189368770764,0.33356035437430787
yen,yen,{},whole_cell,whole_cell_figure_1,gp,75.97728453576565,False,314,0.6927416201042498,0.5299194334937014,0.976898088690791,0.5366444780133132,0.18323643410852714,0.33356035437430787
yen,yen,{},whole_cell,whole_cell_figure_1,qep_q2,75.97728453576565,False,314,0.6927416201042498,0.5299194334937014,0.976898088690791,0.5366444780133132,0.18323643410852714,0.33356035437430787
yen,yen,{},whole_cell,whole_cell_figure_1,qep_q1.5,76.74442771822214,False,308,0.6855078714686219,0.5215001722638755,0.9780916335887259,0.5276638834016699,0.1799501661129568,0.33356035437430787
triangle,triangle,{},nuclei,nuclei_figure_1,raw,165.64453125,False,21218,0.5927466975140744,0.42120824763173903,0.4277046965058879,0.9651943374933617,0.501241319060468,0.22211409445452
triangle,triangle,{},nuclei,nuclei_figure_1,gp,179.98435334861279,False,237,0.8517956344866804,0.7418501967686512,0.9007058409961332,0.8079236922464152,0.19923401306380029,0.22211409445452
triangle,triangle,{},nuclei,nuclei_figure_1,qep_q2,179.98435334861279,False,237,0.8517956344866804,0.7418501967686512,0.9007058409961332,0.8079236922464152,0.19923401306380029,0.22211409445452
triangle,triangle,{},nuclei,nuclei_figure_1,qep_q1.5,180.83922503888607,False,234,0.8458181028233985,0.7328291189564375,0.9080671492962842,0.7915560276155071,0.19361536249834121,0.22211409445452
