dataset,image,role,method,label,ap50,ap75,tp50,fp50,fn50,n_pred,n_gt,mean_matched_iou,threshold_rule,runtime_s,tp75,fp75,fn75,threshold,fg_dice,fg_iou,n_markers,merged,split,missed,spurious
whole_cell,whole_cell_figure_2,heldout_candidate,qep_q1.5,QEP q=1.5,0.15254237288135594,0.014925373134328358,18,77,23,95,41,0.48200199619182144,li,0.14121794700622559,2.0,93.0,39.0,60.271515762213,0.7038714560167666,0.5430568281859178,124.0,0.0,1.0,23.0,57.0
whole_cell,whole_cell_figure_3,heldout_candidate,imagej,ImageJ (saved masks),0.08769633507853403,0.0,67,347,350,414,417,0.4002697453080842,n/a (external masks),0.0,,,,,,,,,,,
whole_cell,whole_cell_figure_3,heldout_candidate,raw,Raw,0.4704761904761905,0.026595744680851064,247,108,170,355,417,0.5111946989407116,li,0.11199212074279785,20.0,335.0,397.0,54.94379621346405,0.7553810792232343,0.6069175605588588,461.0,49.0,4.0,170.0,5.0
whole_cell,whole_cell_figure_3,heldout_candidate,gp,GP,0.30887372013651876,0.006561679790026247,181,169,236,350,417,0.45230403080451725,li,0.12333893775939941,5.0,345.0,412.0,63.715649301271355,0.7023988848670158,0.5413057037909765,384.0,49.0,3.0,236.0,14.0
whole_cell,whole_cell_figure_3,heldout_candidate,qep_q2,QEP q=2,0.30887372013651876,0.006561679790026247,181,169,236,350,417,0.45230403080451725,li,0.11800885200500488,5.0,345.0,412.0,63.715649301271355,0.7023988848670158,0.5413057037909765,384.0,49.0,3.0,236.0,14.0
whole_cell,whole_cell_figure_3,heldout_candidate,qep_q1.5,QEP q=1.5,0.3613595706618962,0.014666666666666666,202,142,215,344,417,0.4740650534996825,li,0.11364102363586426,11.0,333.0,406.0,60.33353653330545,0.7319014134682312,0.5771644422930641,373.0,51.0,3.0,215.0,9.0
whole_cell,whole_cell_figure_4,heldout_candidate,imagej,ImageJ (saved masks),0.10820895522388059,0.020618556701030927,29,195,44,224,73,0.4450569784839221,n/a (external masks),0.0,,,,,,,,,,,
whole_cell,whole_cell_figure_4,heldout_candidate,raw,Raw,0.15846994535519127,0.05472636815920398,29,110,44,139,73,0.4768182907557881,li,1.1464860439300537,11.0,128.0,62.0,58.83743327815185,0.7794372559662424,0.6385884378138,2460.0,7.0,11.0,44.0,72.0
whole_cell,whole_cell_figure_4,heldout_candidate,gp,GP,0.20394736842105263,0.057803468208092484,31,79,42,110,73,0.47960103240574237,li,0.22488999366760254,10.0,100.0,63.0,56.419268620668376,0.7921561278121833,0.655843148317935,122.0,10.0,9.0,42.0,46.0
whole_cell,whole_cell_figure_4,heldout_candidate,qep_q2,QEP q=2,0.20394736842105263,0.057803468208092484,31,79,42,110,73,0.47960103240574237,li,0.2318429946899414,10.0,100.0,63.0,56.419268620668376,0.7921561278121833,0.655843148317935,122.0,10.0,9.0,42.0,46.0
whole_cell,whole_cell_figure_4,heldout_candidate,qep_q1.5,QEP q=1.5,0.23776223776223776,0.05357142857142857,34,70,39,104,73,0.4822207672699516,li,0.22459006309509277,9.0,95.0,64.0,56.55563048630434,0.7900961500190481,0.6530239159347141,114.0,10.0,7.0,39.0,42.0
whole_cell,whole_cell_figure_5,heldout_candidate,imagej,ImageJ (saved masks),0.05333333333333334,0.0025380710659898475,20,286,69,306,89,0.41214697244662907,n/a (external masks),0.0,,,,,,,,,,,
whole_cell,whole_cell_figure_5,heldout_candidate,raw,Raw,0.13703703703703704,0.013201320132013201,37,181,52,218,89,0.47089422368354056,li,0.5662429332733154,4.0,214.0,85.0,56.10153892038043,0.7182470203914119,0.5603630588873252,1043.0,4.0,5.0,52.0,135.0
whole_cell,whole_cell_figure_5,heldout_candidate,gp,GP,0.07291666666666667,0.003246753246753247,21,199,68,220,89,0.39917793303822585,li,0.29439711570739746,1.0,219.0,88.0,66.05901309970713,0.660851627805046,0.49348648852245247,272.0,3.0,6.0,68.0,147.0
whole_cell,whole_cell_figure_5,heldout_candidate,qep_q2,QEP q=2,0.07291666666666667,0.003246753246753247,21,199,68,220,89,0.39917793303822585,li,0.2840750217437744,1.0,219.0,88.0,66.05901309970713,0.660851627805046,0.49348648852245247,272.0,3.0,6.0,68.0,147.0
whole_cell,whole_cell_figure_5,heldout_candidate,qep_q1.5,QEP q=1.5,0.09124087591240876,0.010135135135135136,25,185,64,210,89,0.4205000935832895,li,0.27629899978637695,3.0,207.0,86.0,63.57410518848731,0.6772954830388856,0.5120535042814836,243.0,4.0,4.0,64.0,135.0
