percentage,pixel_count,raw_criterion_curve,rgasp_fitted_curve,rgasp_lower95,rgasp_upper95
0.38,7048,292,227.725085079733,-636.32360591094,1091.77377607041
0.39,6858,190,216.21379113885,-647.834899851823,1080.26248212952
0.4,6664,194,207.245946236971,-656.802744753703,1071.29463722765
0.41,6489,175,208.482192338417,-655.566498652258,1072.53088332909
0.42,6215,274,212.467744997209,-651.580945993465,1076.51643598788
0.43,6046,169,208.65341772396,-655.395273266715,1072.70210871463
0.44,5872,174,206.38053589243,-657.668155098245,1070.4292268831
0.45,5616,256,205.95291516745,-658.095775823225,1070.00160615812
0.46,5432,184,199.024957755518,-665.023733235156,1063.07364874619
0.47,5266,166,197.418440379136,-666.630250611538,1061.46713136981
0.48,5083,183,213.065053354719,-650.983637635955,1077.11374434539
0.49,4776,307,236.011585280789,-628.037105709886,1100.06027627146
0.5,4572,204,252.502291554752,-611.546399435923,1116.55098254543
0.51,4344,228,270.455309176899,-593.593381813775,1134.50400016757
0.52,3973,371,282.338577684013,-581.710113306661,1146.38726867469
0.53,3743,230,270.438083927621,-593.610607063054,1134.4867749183
0.54,3500,243,247.03308553654,-617.015605454135,1111.08177652721
0.55,3304,196,224.520643859733,-639.528047130941,1088.56933485041
0.56,3046,258,201.147730375305,-662.90096061537,1065.19642136598
0.57,2927,119,173.598435148957,-690.450255841717,1037.64712613963
0.58,2790,137,153.296488451358,-710.752202539316,1017.34517944203
0.59,2615,175,137.413899036163,-726.634791954512,1001.46259002684
0.6,2519,96,117.42879310353,-746.619897887144,981.477484094204
0.61,2441,78,102.330883938019,-761.717807052656,966.379574928693
0.62,2358,83,99.8081784005096,-764.240512590164,963.856869391183
0.63,2231,127,102.925691114625,-761.122999876049,966.974382105298
0.64,2144,87,102.292516105588,-761.756174885086,966.341207096261
0.65,2072,72,101.305822421778,-762.742868568901,965.354513412456
0.66,1945,127,102.332192223909,-761.716498766778,966.380883214596
0.67,1872,73,101.387542445537,-762.661148545152,965.436233436227
0.68,1777,95,100.313449680138,-763.735241310522,964.362140670798
0.69,1672,105,97.4531184734554,-766.59557251712,961.50180946403
0.7,1590,82,91.6895254130199,-772.359165577462,955.738216403501
0.71,1523,67,89.3372794972012,-774.711411493404,953.385970487806
0.72,1450,73,94.2416890992471,-769.807001892057,958.290380090551
0.73,1314,136,98.0631298192212,-765.985561173331,962.111820811773
0.74,1247,67,91.9523831453575,-772.096307847421,956.001074138136
0.75,1191,56,84.1078445638195,-779.940846424322,948.156535551961
0.76,1093,98,79.8022518716696,-784.24643910383,943.850942847169
0.77,1031,62,75.5801064488239,-788.46858451415,939.628797411797
0.78,973,58,74.6942559781234,-789.354435006058,938.742946962304
0.79,916,57,80.1470718855708,-783.901619204419,944.195762975561
0.8,802,114,85.2829707820817,-778.765720486225,949.331662050388
0.81,739,63,81.2724218347067,-782.77626944146,945.321113110873
0.82,684,55,73.1394061218277,-790.909284429679,937.188096673334
0.83,613,71,67.1098851002967,-796.938803591325,931.158573791918
0.84,568,45,64.2350101134019,-799.813676912121,928.283697138924
0.85,506,62,65.765489978996,-798.283200618721,929.814180576713
0.86,451,55,69.8733296263225,-794.175377023279,933.922036275923
0.87,375,76,72.6597946684429,-791.388937572474,936.70852690936
0.88,310,65,70.0988535182367,-793.949876033901,934.147583070374
0.89,264,46,63.4961886037506,-800.552432720281,927.544809927782
0.9,207,57,56.3284147365608,-807.719960120715,920.376789593836
0.91,170,37,49.7903291469567,-814.257845303557,913.83850359747
0.92,135,35,46.0615618122936,-817.987325993134,910.110449617722
0.93,105,30,45.4095023591818,-818.643836140666,909.462840859029
0.94,53,52,43.796170175144,-820.265432807946,907.857773158234
0.95,30,23,36.6119009398474,-827.4490528309,900.672854710595
0.96,15,15,25.913383997108,-838.233721559694,890.06048955391
0.97,6,9,15.426125034257,-849.214778885974,880.067028954488
0.98,3,3,8.87913859054476,-855.932197438835,873.690474619925
0.99,1,2,13.6020366418724,-856.035301612055,883.239374895799
