percentage,pixel_count,raw_criterion_curve,rgasp_fitted_curve,rgasp_lower95,rgasp_upper95
0.44,5823,199,197.120193414442,-234.701824756399,628.942211585284
0.45,5631,192,197.147576022629,-234.674442148212,628.96959419347
0.46,5425,206,202.769839557828,-229.052178613011,634.591857728668
0.47,5222,203,212.573754959333,-219.248263211508,644.395773130173
0.48,4988,234,222.509743574014,-209.312274596826,654.331761744854
0.49,4771,217,223.650016898472,-208.172001272368,655.472035069313
0.5,4544,227,234.66588465146,-197.15613351938,666.487902822301
0.51,4277,267,259.938368596508,-171.883649574333,691.760386767348
0.52,4001,276,278.582335096384,-153.239683074456,710.404353267224
0.53,3719,282,283.6297022752,-148.192315895641,715.451720446041
0.54,3447,272,269.95728477097,-161.86473339987,701.779302941811
0.55,3212,235,229.901044246414,-201.920973924427,661.723062417255
0.56,3042,170,175.783566732762,-256.038451438079,607.605584903603
0.57,2910,132,141.076418666166,-290.745599504674,572.898436837006
0.58,2773,137,135.578543046423,-296.243475124418,567.400561217263
0.59,2636,137,133.233057560305,-298.588960610537,565.055075731146
0.6,2520,116,117.327032212909,-314.494985957932,549.14905038375
0.61,2428,92,101.197796718499,-330.624221452342,533.01981488934
0.62,2328,100,97.5802100354226,-334.241808135417,529.402228206262
0.63,2232,96,95.8528850046754,-335.969133166166,527.674903175516
0.64,2145,87,92.2942280658128,-339.527790105028,524.116246236653
0.65,2052,93,92.8732315208571,-338.948786649983,524.695249691697
0.66,1960,92,96.2344890143996,-335.587529156441,528.05650718524
0.67,1859,101,98.3711859091529,-333.450832261688,530.193204079994
0.68,1768,91,95.5699792735303,-336.25203889731,527.391997444371
0.69,1678,90,93.0251700240084,-338.796848146832,524.847188194848
0.7,1584,94,90.2244249474199,-341.59759322342,522.04644311826
0.71,1505,79,86.4168816871759,-345.405136483665,518.238899858017
0.72,1418,87,90.5186622899689,-341.303355880871,522.340680460809
0.73,1318,100,94.6691376466493,-337.152880524192,526.491155817491
0.74,1235,83,86.876534802246,-344.945483368595,518.698552973087
0.75,1162,73,77.864885691367,-353.957132479471,509.686903862205
0.76,1088,74,76.7053120688776,-355.116706101954,508.527330239709
0.77,1007,81,75.5322911503384,-356.289727020505,507.354309321182
0.78,945,62,70.1528066833881,-361.669211487517,501.974824854293
0.79,876,69,74.0444906706233,-357.777527500265,505.866508841512
0.8,789,87,81.8591977306737,-349.962820439779,513.681215901126
0.81,715,74,76.2926082963716,-355.529409873765,508.114626466508
0.82,657,58,62.5803846066286,-369.241633566219,494.402402779476
0.83,603,54,53.6188512922061,-378.203166885466,485.440869469879
0.84,556,47,54.6444983584166,-377.177519805228,486.466516522062
0.85,490,66,64.5782025468502,-367.243815569738,496.400220663439
0.86,419,71,68.9354952348555,-362.886522932733,500.757513402443
0.87,363,56,64.5057641322743,-367.316254410973,496.327782675521
0.88,300,63,59.5755698473885,-372.246448709972,491.397588404749
0.89,252,48,52.061364227352,-379.760651771395,483.883380226099
0.9,209,43,46.5263565362335,-385.295656866407,478.348369938874
0.91,164,45,45.1062729405164,-386.715756493905,476.928302374938
0.92,124,40,43.7334073914835,-388.088658642556,475.555473425523
0.93,83,41,40.6668645922994,-391.155145357141,472.48887454174
0.94,53,30,34.7360245424601,-397.085977544135,466.558026629055
0.95,25,28,27.6495047932105,-404.17285884365,459.471868430071
0.96,10,15,18.5331795793479,-413.308519818312,450.374878977008
0.97,3,7,9.97945481919066,-421.865377327761,441.824286966142
0.98,1,2,2.73199386039698,-429.783171905965,435.247159626759
0.99,1,0,-1.35790622158027,-434.764730638441,432.048918195281
1.0,0,1,14.0658774321068,-454.574043540718,482.705798404932
