arm,label,is_probe,power,seed,sigma,rmse,rel_l1,rel_l2,rel_linf,edge_band_rmse,interior_rmse,edge_interior_ratio,edge_band_px,edge_sharpness_ratio,grad_rmse_band,grad_corr,boundary_precision,boundary_recall,boundary_f1,pred_boundary_px,true_boundary_px,fg_iou_fixed_thr,boundary_f1_otsu,fg_iou_otsu,otsu_threshold,invalid,runtime_s,final_loss,n_iters,lengthscale_0,lengthscale_1,outputscale,noise,n_nonfinite_loss,n_cholesky_retries,failed,failure_reason,inference,num_inducing,init_lengthscale,init_noise,lr,nu,dtype,learn_noise,n_train,loss_first,loss_min,tail_improve_frac,converged
qep_q2p0,q=2.0,0,2.0,2,0.1,0.12482175887307254,0.43506635625756457,0.3721351567297465,0.5459609547364899,0.2228784253407619,0.032664161477607305,6.823332216672842,1223,0.8739568745372721,1.282304942633034,0.7460337159617764,1.0,1.0,1.0,232,225,0.8742138364779874,1.0,0.875,0.37818822756369075,0.0,156.5489320755005,-0.015611549953284842,400,0.10572682173397853,0.1075299919369126,0.182128209561814,0.09999999999999999,0,0,0,,exact,0.0,0.04,0.1,0.02,2.5,float64,False,4096.0,0.2356351499388637,-0.020409894799316097,-0.006077153667815649,1.0
qep_q1p8,q=1.8,0,1.8,2,0.1,0.13210653913767487,0.46632300403983146,0.3938535083215247,0.5551689010728029,0.23632692316906087,0.03326369909651163,7.104649500447306,1223,0.8129081360392757,1.3466552154262768,0.7082230303036509,1.0,1.0,1.0,230,225,0.8613707165109035,1.0,0.8296296296296296,0.36251654471771355,0.0,160.1495077610016,0.25878140583160264,400,0.12052530950073638,0.12308824503175345,0.16998596169857472,0.09999999999999999,0,0,0,,exact,0.0,0.04,0.1,0.02,2.5,float64,False,4096.0,0.5242529404593002,0.2581749410697223,0.008881469488230646,1.0
qep_q1p5,q=1.5,0,1.5,2,0.1,0.12537398655983245,0.434188261580764,0.3737815310367444,0.546694758235623,0.224295192512977,0.03153152665740559,7.1133629192768035,1223,0.8667506665805825,1.2883491939409977,0.7431811926060538,1.0,1.0,1.0,231,225,0.8712715855572999,1.0,0.8720748829953198,0.3783592990355923,0.0,157.10594511032104,0.7449700170853482,400,0.10397129416266401,0.10536365079812546,0.16054106749979113,0.09999999999999999,0,0,0,,exact,0.0,0.04,0.1,0.02,2.5,float64,False,4096.0,0.9738117877178032,0.7428968689754312,0.010169910754453837,0.0
qep_q1p2,q=1.2,0,1.2,2,0.1,0.11524155985652179,0.3909235172447616,0.34357339879015886,0.5441476486238825,0.20562889950845475,0.030570625556738517,6.726355635962087,1223,0.9424849950121352,1.1802950501377785,0.7978670032615165,1.0,1.0,1.0,234,225,0.896,1.0,0.9221854304635762,0.39912891476619294,0.0,156.84426522254944,1.2605383394341447,400,0.0794931940524983,0.08108190260172284,0.15040731105943705,0.09999999999999999,0,0,0,,exact,0.0,0.04,0.1,0.02,2.5,float64,False,4096.0,1.4417104300209047,1.2546457115454555,-0.0055241003154425415,1.0
qep_q1p0,q=1.0,0,1.0,2,0.1,0.10992655130912299,0.3700530865206477,0.32772759148329766,0.5313277170099914,0.19572116371434944,0.03034923480669345,6.448965351547631,1223,0.9755180961396474,1.1102996567353125,0.827533388977564,1.0,1.0,1.0,234,225,0.9166666666666666,1.0,0.9440677966101695,0.4091253543595833,0.0,156.50928473472595,1.6061850525193686,400,0.06969835471726163,0.06925555972521263,0.1543192055429004,0.09999999999999999,0,0,0,,exact,0.0,0.04,0.1,0.02,2.5,float64,False,4096.0,1.7537721238706325,1.5964415346992928,-0.022159249664369874,1.0
gp_control,GP control,0,,2,0.1,0.12472912314164299,0.4341880456319375,0.3718589788201774,0.5465534637994357,0.22275663860163342,0.03251295828735583,6.851318684472421,1223,0.8744778437026465,1.281938508357801,0.7461954828687032,1.0,1.0,1.0,231,225,0.8710691823899371,1.0,0.8711180124223602,0.3757323640737076,0.0,155.35016703605652,-0.014864605550092724,400,0.10515446954815402,0.10802287551939818,0.18239995057086777,0.09999999999999999,0,0,0,,exact,0.0,0.04,0.1,0.02,2.5,float64,False,4096.0,0.23487459296547908,-0.022636557657592205,-0.004829655652499008,1.0
identity_noisy,no smoothing,0,,1,0.25,0.2507351917215291,1.20351605826205,0.7475249564768247,0.9379087418165896,0.2597497029536736,0.24679793339421255,1.0524792464075179,1223,1.5412814119162364,1.099536480973484,0.7599667741921513,0.3274647887323944,1.0,0.493368700265252,1136,225,0.6229885057471264,0.4863813229571985,0.6139954853273137,0.3773218515868132,0.0,0.0,,0,,,,,0,0,0,,exact,,,,,,,,,,,,
qep_q3p0,q=3.0 (probe),1,3.0,1,0.25,0.20695218101090007,0.993999793808703,0.6169932471017938,0.774169714259969,0.21820046506816096,0.20197392582520007,1.0803397724565906,1223,1.4225054925119636,0.9712226459247971,0.7838553171178979,0.3940149625935162,1.0,0.5652951699463327,802,225,0.7245033112582782,0.6070351758793969,0.7637130801687764,0.41089633470509435,0.0,158.4793939590454,0.26755151457431614,400,0.013139721167778735,0.012833270679237088,1.8261486033206669,0.24999999999999997,0,0,0,,exact,0.0,0.04,0.25,0.02,2.5,float64,False,4096.0,2.13438555310608,0.26755151457431614,0.0035422541722613323,1.0
qep_q2p0,q=2.0,0,2.0,1,0.25,0.15416898158315465,0.5920697319664967,0.45962898329811386,0.6269604723196454,0.27283081442245716,0.046894538218052506,5.817965690457067,1223,0.6523586813051017,1.480801083891482,0.6239228035818104,1.0,0.9955555555555555,0.9977728285077951,227,225,0.8248062015503876,0.9890631318804763,0.7429718875502008,0.3254211973142608,0.0,157.79733085632324,0.4369065412377897,400,0.13967056281826068,0.1192795855833347,0.16115568889621662,0.24999999999999997,0,0,0,,exact,0.0,0.04,0.25,0.02,2.5,float64,False,4096.0,0.6071548957538873,0.436275015221155,0.005402552104149429,1.0
qep_q1p8,q=1.8,0,1.8,1,0.25,0.16611813174881504,0.6488321230840582,0.495253372105253,0.6630571399374627,0.29252676939801914,0.053993432364123024,5.417821327328584,1223,0.5615801412217652,1.5549818902778036,0.560304471301371,0.9954128440366973,0.9822222222222222,0.9887735430862963,218,225,0.7937984496124031,0.9617375231053604,0.687192118226601,0.3017871325476982,0.0,158.5005819797516,0.7099423018264306,400,0.17784489844736887,0.14065718456380955,0.1488014193378787,0.24999999999999997,0,0,0,,exact,0.0,0.04,0.25,0.02,2.5,float64,False,4096.0,0.8914991109326702,0.7077049090334842,-0.006973699818935962,1.0
qep_q1p5,q=1.5,0,1.5,1,0.25,0.1614267593835492,0.6240209234465774,0.481266831567869,0.653126029682461,0.28514413897612506,0.05039813268808696,5.65783142682838,1223,0.5955173256388855,1.5276562393357251,0.5842691059875276,1.0,0.9822222222222222,0.9910313901345292,218,225,0.809375,0.9745683234953384,0.6976160602258469,0.30779342492544826,0.0,158.60714268684387,1.1999353005835636,400,0.1616579981308066,0.13069818546948192,0.1490969406356486,0.24999999999999997,0,0,0,,exact,0.0,0.04,0.25,0.02,2.5,float64,False,4096.0,1.3675403086084055,1.1976124844894955,0.010021350374630852,0.0
qep_q1p2,q=1.2,0,1.2,1,0.25,0.14714965883065112,0.5621805218171668,0.43870204879388397,0.6042824893760108,0.2603033331250069,0.0450198480160721,5.781968278348663,1223,0.7071269900045364,1.4311025965099355,0.664341074437874,1.0,0.9955555555555555,0.9977728285077951,227,225,0.8369565217391305,0.9932885906040269,0.7787114845938375,0.33650505915098883,0.0,156.99409198760986,1.7259748239721693,400,0.11487200901568016,0.10533710597977955,0.1499312293878229,0.24999999999999997,0,0,0,,exact,0.0,0.04,0.25,0.02,2.5,float64,False,4096.0,1.8707418222167758,1.7234907455787667,0.016852432752386126,0.0
qep_q1p0,q=1.0,0,1.0,1,0.25,0.1397031493857899,0.5362771890467005,0.416501528753377,0.5906421347892634,0.2457760997827412,0.04594638115358387,5.34919385622975,1223,0.7721893595489838,1.3650041167932567,0.7116579969633807,1.0,1.0,1.0,229,225,0.853125,1.0,0.8323353293413174,0.3564037853206243,0.0,157.93626809120178,2.0803663176099048,400,0.09359390313241564,0.08960898696329057,0.1460188201244171,0.24999999999999997,0,0,0,,exact,0.0,0.04,0.25,0.02,2.5,float64,False,4096.0,2.2084093955804205,2.0793180365612063,0.04062307488825448,0.0
gp_control,GP control,0,,1,0.25,0.15415499386744036,0.5930057003687557,0.4595872812677418,0.6276441870810909,0.272701481494756,0.04714852684720187,5.783881273290303,1223,0.6523522726254417,1.4806891408729794,0.6241852411229551,1.0,0.9955555555555555,0.9977728285077951,226,225,0.8248062015503876,0.9890631318804763,0.74,0.32402718071417547,0.0,156.84168100357056,0.4395641292375207,400,0.1387609737977343,0.11921682789355002,0.15954812423935735,0.24999999999999997,0,0,0,,exact,0.0,0.04,0.25,0.02,2.5,float64,False,4096.0,0.6102080968584561,0.4362878667337978,-0.006096263826544784,1.0
identity_noisy,no smoothing,0,,2,0.25,0.25047418927645776,1.208513191165891,0.7467468214250488,0.9180335901418346,0.24986242950655818,0.25073415479148725,0.9965233085789449,1223,1.5234560715779102,1.040243830610395,0.767763424884565,0.3254759746146872,1.0,0.4911080711354309,1103,225,0.6400937866354045,0.4996326230712711,0.6646341463414634,0.3979140604654513,0.0,0.0,,0,,,,,0,0,0,,exact,,,,,,,,,,,,
qep_q3p0,q=3.0 (probe),1,3.0,2,0.25,0.20668248009132992,0.9994228199426801,0.6161891790059705,0.7508164662302659,0.2076569088665623,0.20626628113676507,1.0067419052795894,1223,1.4155975144154003,0.9240212538349931,0.7910038067466315,0.3973509933774834,1.0,0.5687203791469194,755,225,0.7503392130257802,0.6262188515709642,0.7861271676300579,0.42470842852036916,0.0,156.96053194999695,0.293090385146038,400,0.013392560861530206,0.01271833943131188,1.9074214142119799,0.24999999999999997,0,0,0,,exact,0.0,0.04,0.25,0.02,2.5,float64,False,4096.0,2.2209903103333164,0.2847041484231192,-0.002827865265020353,1.0
qep_q2p0,q=2.0,0,2.0,2,0.25,0.148724232638446,0.579683751977566,0.44339637673827814,0.5880964031371777,0.2608526204783712,0.05068648834659339,5.14639362456253,1223,0.7063151811475907,1.4409956858839021,0.6427927935550612,1.0,0.9911111111111112,0.9955357142857144,225,225,0.8051359516616314,0.9912373723279567,0.7578659370725034,0.3365894159371807,0.0,155.9509139060974,0.4427304511259896,400,0.12494951361832439,0.11758170529067276,0.16347306811928017,0.24999999999999997,0,0,0,,exact,0.0,0.04,0.25,0.02,2.5,float64,False,4096.0,0.6052438459471849,0.4387166968423887,0.0046652740590251525,1.0
qep_q1p8,q=1.8,0,1.8,2,0.25,0.1607058649248306,0.6302369047216885,0.47911760554507565,0.6020093022560823,0.2824972673906998,0.05337113208533373,5.293072422354133,1223,0.6037296932000581,1.525171444805595,0.5733600915102005,0.9953917050691244,0.9555555555555556,0.9750669256207023,217,225,0.7692307692307693,0.9682628215092304,0.6996197718631179,0.3134403456522289,0.0,168.16864585876465,0.7115888188579442,400,0.1603564189262181,0.1426808020641446,0.15433125073597395,0.24999999999999997,0,0,0,,exact,0.0,0.04,0.25,0.02,2.5,float64,False,4096.0,0.8973196090861925,0.7110217698363328,0.012748919975940031,0.0
qep_q1p5,q=1.5,0,1.5,2,0.25,0.15603893109109365,0.6092504309667439,0.46520392439409064,0.5782932778281087,0.27444417220130946,0.051480479991681746,5.331033670347564,1223,0.6424047587424354,1.4936766644693673,0.6008106094026242,0.9954954954954955,0.9822222222222222,0.988814317673378,222,225,0.7834586466165413,0.9890310619137646,0.7242744063324539,0.3282495569974608,0.0,159.24916577339172,1.2020612102955783,400,0.14469748168003327,0.13171189652569806,0.15411867030768606,0.24999999999999997,0,0,0,,exact,0.0,0.04,0.25,0.02,2.5,float64,False,4096.0,1.3746111611055998,1.2007462145986638,0.004393490264998672,1.0
qep_q1p2,q=1.2,0,1.2,2,0.25,0.1428710036401158,0.5564795626862911,0.4259459553507407,0.5838850801836618,0.24988881396821175,0.050194656720154676,4.978394719609145,1223,0.7562098037966712,1.3957562214053019,0.6775443103724067,1.0,0.9911111111111112,0.9955357142857144,230,225,0.8188736681887366,0.9955357142857144,0.7902995720399429,0.3499975600325124,0.0,162.65799808502197,1.7318583830318026,400,0.10652932307780114,0.10418885105771428,0.1526804653526845,0.24999999999999997,0,0,0,,exact,0.0,0.04,0.25,0.02,2.5,float64,False,4096.0,1.873437841086827,1.7268362353849325,-0.011667193626075049,1.0
qep_q1p0,q=1.0,0,1.0,2,0.25,0.1358893189073861,0.5300626557663157,0.4051312322951714,0.5833787301714003,0.23622981565734458,0.05070824522931771,4.658607581253174,1223,0.8195128803280447,1.3329583843792365,0.7202373670909125,1.0,1.0,1.0,233,225,0.8356374807987711,0.9977728285077951,0.8259587020648967,0.3620096130372351,0.0,163.13336181640625,2.086492856376964,400,0.08857403628717968,0.08962052590359529,0.1513200079049046,0.24999999999999997,0,0,0,,exact,0.0,0.04,0.25,0.02,2.5,float64,False,4096.0,2.21180291398233,2.083482853967493,-0.005329378646464994,1.0
gp_control,GP control,0,,2,0.25,0.14894632819698558,0.5808848622138881,0.44405851742778846,0.5873139099362198,0.26121544538245406,0.05082067246646663,5.139944685990011,1223,0.704492333337414,1.4427459141224659,0.6413222693711468,1.0,0.9911111111111112,0.9955357142857144,225,225,0.803921568627451,0.9912373723279567,0.7589041095890411,0.3370879695774024,0.0,156.01328110694885,0.44079250523100144,400,0.12543304640300856,0.1187386141865471,0.16492587852214455,0.24999999999999997,0,0,0,,exact,0.0,0.04,0.25,0.02,2.5,float64,False,4096.0,0.6163394511551096,0.44016224233294265,0.013134259811574327,0.0
