rule,dataset,image,arm,transform,a,b,mask_identical,base_threshold,transformed_threshold,expected_threshold,threshold_matches_expected
quantile_p0.8,whole_cell,whole_cell_figure_5,raw,scale_10.0,10.0,0.0,True,64.0,640.0,640.0,True
quantile_p0.8,whole_cell,whole_cell_figure_5,raw,affine_a2_b50,2.0,50.0,True,64.0,178.0,178.0,True
quantile_p0.8,whole_cell,whole_cell_figure_5,raw,affine_a1_b100,1.0,100.0,True,64.0,164.0,164.0,True
quantile_p0.85,nuclei,nuclei_figure_2,gp,scale_0.5,0.5,0.0,True,131.9452033996582,65.9726016998291,65.9726016998291,True
quantile_p0.85,nuclei,nuclei_figure_2,gp,scale_2.0,2.0,0.0,True,131.9452033996582,263.8904067993164,263.8904067993164,True
quantile_p0.85,nuclei,nuclei_figure_2,gp,scale_10.0,10.0,0.0,True,131.9452033996582,1319.452033996582,1319.452033996582,True
quantile_p0.85,nuclei,nuclei_figure_2,gp,affine_a2_b50,2.0,50.0,True,131.9452033996582,313.8904067993164,313.8904067993164,True
quantile_p0.85,nuclei,nuclei_figure_2,gp,affine_a1_b100,1.0,100.0,True,131.9452033996582,231.9452033996582,231.9452033996582,True
quantile_p0.85,nuclei,nuclei_figure_4,qep_q1.5,scale_0.5,0.5,0.0,True,74.32863540649413,37.164317703247065,37.164317703247065,True
quantile_p0.85,nuclei,nuclei_figure_4,qep_q1.5,scale_2.0,2.0,0.0,True,74.32863540649413,148.65727081298826,148.65727081298826,True
quantile_p0.85,nuclei,nuclei_figure_4,qep_q1.5,scale_10.0,10.0,0.0,True,74.32863540649413,743.2863540649413,743.2863540649413,True
quantile_p0.85,nuclei,nuclei_figure_4,qep_q1.5,affine_a2_b50,2.0,50.0,True,74.32863540649413,198.65727081298826,198.65727081298826,True
quantile_p0.85,nuclei,nuclei_figure_4,qep_q1.5,affine_a1_b100,1.0,100.0,True,74.32863540649413,174.32863540649413,174.32863540649413,True
quantile_p0.85,whole_cell,whole_cell_figure_3,gp,scale_0.5,0.5,0.0,True,72.91596450805663,36.457982254028316,36.457982254028316,True
quantile_p0.85,whole_cell,whole_cell_figure_3,gp,scale_2.0,2.0,0.0,True,72.91596450805663,145.83192901611326,145.83192901611326,True
quantile_p0.85,whole_cell,whole_cell_figure_3,gp,scale_10.0,10.0,0.0,True,72.91596450805663,729.1596450805663,729.1596450805663,True
quantile_p0.85,whole_cell,whole_cell_figure_3,gp,affine_a2_b50,2.0,50.0,True,72.91596450805663,195.83192901611326,195.83192901611326,True
quantile_p0.85,whole_cell,whole_cell_figure_3,gp,affine_a1_b100,1.0,100.0,True,72.91596450805663,172.91596450805662,172.91596450805662,True
quantile_p0.85,whole_cell,whole_cell_figure_5,raw,scale_0.5,0.5,0.0,True,84.0,42.0,42.0,True
quantile_p0.85,whole_cell,whole_cell_figure_5,raw,scale_2.0,2.0,0.0,True,84.0,168.0,168.0,True
quantile_p0.85,whole_cell,whole_cell_figure_5,raw,scale_10.0,10.0,0.0,True,84.0,840.0,840.0,True
quantile_p0.85,whole_cell,whole_cell_figure_5,raw,affine_a2_b50,2.0,50.0,True,84.0,218.0,218.0,True
quantile_p0.85,whole_cell,whole_cell_figure_5,raw,affine_a1_b100,1.0,100.0,True,84.0,184.0,184.0,True
quantile_p0.9,nuclei,nuclei_figure_2,gp,scale_0.5,0.5,0.0,True,139.22886199951174,69.61443099975587,69.61443099975587,True
quantile_p0.9,nuclei,nuclei_figure_2,gp,scale_2.0,2.0,0.0,True,139.22886199951174,278.4577239990235,278.4577239990235,True
quantile_p0.9,nuclei,nuclei_figure_2,gp,scale_10.0,10.0,0.0,True,139.22886199951174,1392.2886199951174,1392.2886199951174,True
quantile_p0.9,nuclei,nuclei_figure_2,gp,affine_a2_b50,2.0,50.0,True,139.22886199951174,328.4577239990235,328.4577239990235,True
quantile_p0.9,nuclei,nuclei_figure_2,gp,affine_a1_b100,1.0,100.0,True,139.22886199951174,239.22886199951174,239.22886199951174,True
quantile_p0.9,nuclei,nuclei_figure_4,qep_q1.5,scale_0.5,0.5,0.0,True,89.22288131713866,44.61144065856933,44.61144065856933,True
quantile_p0.9,nuclei,nuclei_figure_4,qep_q1.5,scale_2.0,2.0,0.0,True,89.22288131713866,178.44576263427732,178.44576263427732,True
quantile_p0.9,nuclei,nuclei_figure_4,qep_q1.5,scale_10.0,10.0,0.0,True,89.22288131713866,892.2288131713866,892.2288131713866,True
quantile_p0.9,nuclei,nuclei_figure_4,qep_q1.5,affine_a2_b50,2.0,50.0,True,89.22288131713866,228.44576263427732,228.44576263427732,True
quantile_p0.9,nuclei,nuclei_figure_4,qep_q1.5,affine_a1_b100,1.0,100.0,True,89.22288131713866,189.22288131713867,189.22288131713867,True
quantile_p0.9,whole_cell,whole_cell_figure_3,gp,scale_0.5,0.5,0.0,True,97.6103240966797,48.80516204833985,48.80516204833985,True
quantile_p0.9,whole_cell,whole_cell_figure_3,gp,scale_2.0,2.0,0.0,True,97.6103240966797,195.2206481933594,195.2206481933594,True
quantile_p0.9,whole_cell,whole_cell_figure_3,gp,scale_10.0,10.0,0.0,True,97.6103240966797,976.1032409667971,976.1032409667971,True
quantile_p0.9,whole_cell,whole_cell_figure_3,gp,affine_a2_b50,2.0,50.0,True,97.6103240966797,245.2206481933594,245.2206481933594,True
quantile_p0.9,whole_cell,whole_cell_figure_3,gp,affine_a1_b100,1.0,100.0,True,97.6103240966797,197.6103240966797,197.6103240966797,True
quantile_p0.9,whole_cell,whole_cell_figure_5,raw,scale_0.5,0.5,0.0,True,107.0,53.5,53.5,True
quantile_p0.9,whole_cell,whole_cell_figure_5,raw,scale_2.0,2.0,0.0,True,107.0,214.0,214.0,True
quantile_p0.9,whole_cell,whole_cell_figure_5,raw,scale_10.0,10.0,0.0,True,107.0,1070.0,1070.0,True
quantile_p0.9,whole_cell,whole_cell_figure_5,raw,affine_a2_b50,2.0,50.0,True,107.0,264.0,264.0,True
quantile_p0.9,whole_cell,whole_cell_figure_5,raw,affine_a1_b100,1.0,100.0,True,107.0,207.0,207.0,True
quantile_p0.95,nuclei,nuclei_figure_2,gp,scale_0.5,0.5,0.0,True,157.3801109313965,78.69005546569825,78.69005546569825,True
quantile_p0.95,nuclei,nuclei_figure_2,gp,scale_2.0,2.0,0.0,True,157.3801109313965,314.760221862793,314.760221862793,True
quantile_p0.95,nuclei,nuclei_figure_2,gp,scale_10.0,10.0,0.0,True,157.3801109313965,1573.8011093139648,1573.801109313965,True
quantile_p0.95,nuclei,nuclei_figure_2,gp,affine_a2_b50,2.0,50.0,True,157.3801109313965,364.760221862793,364.760221862793,True
quantile_p0.95,nuclei,nuclei_figure_2,gp,affine_a1_b100,1.0,100.0,True,157.3801109313965,257.3801109313965,257.38011093139653,True
quantile_p0.95,nuclei,nuclei_figure_4,qep_q1.5,scale_0.5,0.5,0.0,True,130.55776519775384,65.27888259887692,65.27888259887692,True
quantile_p0.95,nuclei,nuclei_figure_4,qep_q1.5,scale_2.0,2.0,0.0,True,130.55776519775384,261.1155303955077,261.1155303955077,True
quantile_p0.95,nuclei,nuclei_figure_4,qep_q1.5,scale_10.0,10.0,0.0,True,130.55776519775384,1305.5776519775384,1305.5776519775384,True
quantile_p0.95,nuclei,nuclei_figure_4,qep_q1.5,affine_a2_b50,2.0,50.0,True,130.55776519775384,311.1155303955077,311.1155303955077,True
quantile_p0.95,nuclei,nuclei_figure_4,qep_q1.5,affine_a1_b100,1.0,100.0,True,130.55776519775384,230.55776519775384,230.55776519775384,True
quantile_p0.95,whole_cell,whole_cell_figure_3,gp,scale_0.5,0.5,0.0,True,133.71430358886712,66.85715179443356,66.85715179443356,True
quantile_p0.95,whole_cell,whole_cell_figure_3,gp,scale_2.0,2.0,0.0,True,133.71430358886712,267.42860717773425,267.42860717773425,True
quantile_p0.95,whole_cell,whole_cell_figure_3,gp,scale_10.0,10.0,0.0,True,133.71430358886712,1337.1430358886712,1337.1430358886712,True
quantile_p0.95,whole_cell,whole_cell_figure_3,gp,affine_a2_b50,2.0,50.0,True,133.71430358886712,317.42860717773425,317.42860717773425,True
quantile_p0.95,whole_cell,whole_cell_figure_3,gp,affine_a1_b100,1.0,100.0,True,133.71430358886712,233.71430358886712,233.71430358886712,True
quantile_p0.95,whole_cell,whole_cell_figure_5,raw,scale_0.5,0.5,0.0,True,136.0,68.0,68.0,True
