dataset,image,arm,round,threshold_rule,n_components,fg_dice,fg_iou,fg_precision,fg_recall,fg_fraction,gt_fg_fraction,role,threshold,threshold_percentile,collapsed
whole_cell,whole_cell_figure_5,gp,round2,criterion_1 (per tile),166,0.7042814104609915,0.5435450383648204,0.9608670080107966,0.5558497871509883,0.219329,0.379142,,,,
whole_cell,whole_cell_figure_5,qep_q2,round2,criterion_1 (per tile),166,0.7042814104609915,0.5435450383648204,0.9608670080107966,0.5558497871509883,0.219329,0.379142,,,,
whole_cell,whole_cell_figure_5,qep_q1.5,round2,criterion_1 (per tile),136,0.709146018059599,0.5493619169796545,0.9592822667344396,0.5624779106508907,0.222311,0.379142,,,,
nuclei,nuclei_figure_2,raw,round3,li,90,0.8718273308437243,0.772778276481149,0.9890851644406148,0.7794250792213672,0.0744705882352941,0.0945026737967914,heldout_candidate,145.25325722254715,92.5529411764706,False
nuclei,nuclei_figure_2,gp,round3,li,64,0.7478836553071413,0.5972956574499436,0.7184111759799833,0.7798777727478498,0.1025882352941176,0.0945026737967914,heldout_candidate,138.6119420047352,89.74117647058823,False
nuclei,nuclei_figure_2,qep_q2,round3,li,64,0.7478836553071413,0.5972956574499436,0.7184111759799833,0.7798777727478498,0.1025882352941176,0.0945026737967914,heldout_candidate,138.6119420047352,89.74117647058823,False
nuclei,nuclei_figure_2,qep_q1.5,round3,li,58,0.7215,0.5643332029722331,0.6462737370118237,0.8165459483929379,0.1194010695187165,0.0945026737967914,heldout_candidate,136.28452185196556,88.05989304812834,False
nuclei,nuclei_figure_3,raw,round3,li,3975,0.8172274009452467,0.6909421148227118,0.845221994667491,0.7910277737595834,0.2062729156703331,0.2204049099314522,heldout_candidate,62.92426838013995,79.37270843296669,False
nuclei,nuclei_figure_3,gp,round3,li,204,0.8112123310461425,0.6823862260953765,0.8069236962161195,0.815546795891798,0.2227602423083054,0.2204049099314522,heldout_candidate,61.69707137877856,77.72397576916946,False
nuclei,nuclei_figure_3,qep_q2,round3,li,204,0.8112123310461425,0.6823862260953765,0.8069236962161195,0.815546795891798,0.2227602423083054,0.2204049099314522,heldout_candidate,61.69707137877856,77.72397576916946,False
nuclei,nuclei_figure_3,qep_q1.5,round3,li,206,0.8066964285714285,0.6760194537972316,0.7967934245802173,0.8168486908722696,0.2259524948190658,0.2204049099314522,heldout_candidate,61.655794752255225,77.40475051809341,False
nuclei,nuclei_figure_4,raw,round3,li,1782,0.8626316113539807,0.7584452143785189,0.9588228584464468,0.7839808994422787,0.0751010827850877,0.0918499862938596,heldout_candidate,101.43638492361671,92.48989172149122,False
nuclei,nuclei_figure_4,gp,round3,li,211,0.8649246433239195,0.7619975521772739,0.8479445181176302,0.8825987204118558,0.0956037554824561,0.0918499862938596,heldout_candidate,91.92053365287676,90.43962445175438,False
nuclei,nuclei_figure_4,qep_q2,round3,li,211,0.8649246433239195,0.7619975521772739,0.8479445181176302,0.8825987204118558,0.0956037554824561,0.0918499862938596,heldout_candidate,91.92053365287676,90.43962445175438,False
nuclei,nuclei_figure_4,qep_q1.5,round3,li,212,0.8655458335242109,0.762962364722985,0.8505600172867073,0.8810691835630747,0.0951445997807017,0.0918499862938596,heldout_candidate,92.06025709649728,90.48554002192982,False
nuclei,nuclei_figure_5,raw,round3,li,5480,0.8873116547535153,0.797448502578641,0.8930155585076441,0.8816801529432687,0.0847110748291015,0.0858001708984375,heldout_candidate,91.7602354069218,91.52889251708984,False
nuclei,nuclei_figure_5,gp,round3,li,133,0.8619486797296319,0.7573899914503484,0.8065084745762712,0.9255735372576916,0.0984668731689453,0.0858001708984375,heldout_candidate,86.147156288868,90.15331268310548,False
nuclei,nuclei_figure_5,qep_q2,round3,li,133,0.8619486797296319,0.7573899914503484,0.8065084745762712,0.9255735372576916,0.0984668731689453,0.0858001708984375,heldout_candidate,86.147156288868,90.15331268310548,False
