dataset,arm,i,j,y_offset,x_offset,h,w,theta_hat,s_2,sigma2_hat,runtime_sec,beta1,beta2,nugget,eff_range_rows_px,eff_range_cols_px,tile_min,tile_max,pred_min,pred_max,rmse_to_raw,gradients_computed
nuclei,paper_fast_gp,4,1,0,720,282,240,0.6734674286037048,163.25101953627623,0.002412101352486351,0.020473241806030273,35.503950708599106,23.688954278724278,0.1705972631730777,7.914612159822017,10.089090349363909,0.5372549019607843,1.0,0.5842943972680135,0.9567409499918434,0.019852032332863718,False
nuclei,paper_fast_gp,4,2,282,720,282,240,0.6765528720790179,164.51758236874053,0.0024308153423277267,0.022584199905395508,35.503950708599106,23.688954278724278,0.1705972631730777,7.914612159822017,10.089090349363909,0.5450980392156862,1.0,0.6128323907797245,1.0236503708911784,0.01991266491328433,False
nuclei,paper_fast_gp,4,3,564,720,282,240,0.6198978476398295,149.57698277745405,0.002210061802267347,0.02098870277404785,35.503950708599106,23.688954278724278,0.1705972631730777,7.914612159822017,10.089090349363909,0.4823529411764706,1.0,0.5347141843996815,0.9870711258530961,0.018925937975732398,False
nuclei,paper_fast_gp,4,4,846,720,282,240,0.593114662500025,131.95187174552203,0.0019496434950579495,0.021322011947631836,35.503950708599106,23.688954278724278,0.1705972631730777,7.914612159822017,10.089090349363909,0.48627450980392156,1.0,0.5276989685287687,1.0224573064239317,0.01778847966547533,False
nuclei,paper_fast_gp_ms8,1,1,0,0,282,240,0.6639409024734176,162.81761432751335,0.002405697611222124,0.023356199264526367,35.503950708599106,23.688954278724278,0.1705972631730777,7.914612159822017,10.089090349363909,0.5333333333333333,1.0,0.5775725105550776,0.9654932957931484,0.019803842179129443,False
nuclei,paper_fast_gp_ms8,1,2,282,0,282,240,0.7016616144111489,187.98721159893262,0.0027775888238612974,0.024350881576538086,35.503950708599106,23.688954278724278,0.1705972631730777,7.914612159822017,10.089090349363909,0.5607843137254902,1.0,0.6320849720279502,1.0219212528419306,0.021256775480483284,False
nuclei,paper_fast_gp_ms8,1,3,564,0,282,240,0.6979367415676632,187.7826273895773,0.0027745660075292155,0.02942681312561035,35.503950708599106,23.688954278724278,0.1705972631730777,7.914612159822017,10.089090349363909,0.5294117647058824,1.0,0.5898502246621421,0.9810058492200062,0.021199522262004594,False
nuclei,paper_fast_gp_ms8,1,4,846,0,282,240,0.6808383496204795,164.05330758110915,0.002423955490264615,0.0251619815826416,35.503950708599106,23.688954278724278,0.1705972631730777,7.914612159822017,10.089090349363909,0.5294117647058824,1.0,0.5723617410672436,0.9990780526112393,0.019882235323569995,False
nuclei,paper_fast_gp_ms8,2,1,0,240,282,240,0.662758217605824,151.7575478018516,0.002242280552627831,0.04590582847595215,35.503950708599106,23.688954278724278,0.1705972631730777,7.914612159822017,10.089090349363909,0.5372549019607843,0.9764705882352941,0.5697069254079052,0.9118141497265178,0.0192330849878433,False
nuclei,paper_fast_gp_ms8,2,2,282,240,282,240,0.6762130410985042,168.2398925947499,0.0024858140158798745,0.033551931381225586,35.503950708599106,23.688954278724278,0.1705972631730777,7.914612159822017,10.089090349363909,0.4117647058823529,1.0,0.44506993887505025,0.9548361859569465,0.020113017692680438,False
nuclei,paper_fast_gp_ms8,2,3,564,240,282,240,0.6527540777020314,162.10501756233262,0.002395168699207042,0.042593955993652344,35.503950708599106,23.688954278724278,0.1705972631730777,7.914612159822017,10.089090349363909,0.4980392156862745,0.996078431372549,0.5584458869095812,0.9381642483159716,0.01976822226585701,False
nuclei,paper_fast_gp_ms8,2,4,846,240,282,240,0.6415546197156821,148.9421890610367,0.0022006824624857665,0.018603086471557617,35.503950708599106,23.688954278724278,0.1705972631730777,7.914612159822017,10.089090349363909,0.5098039215686274,1.0,0.5498035727805973,1.0235781799239148,0.018846827076707973,False
nuclei,paper_fast_gp_ms8,3,1,0,480,282,240,0.6958819648936945,173.1983645333858,0.0025590774901504995,0.02527022361755371,35.503950708599106,23.688954278724278,0.1705972631730777,7.914612159822017,10.089090349363909,0.5647058823529412,1.0,0.6164469979923171,0.9679668678153914,0.02045024947205278,False
nuclei,paper_fast_gp_ms8,3,2,282,480,282,240,0.686549784226677,176.52050400947377,0.002608163475317284,0.036609649658203125,35.503950708599106,23.688954278724278,0.1705972631730777,7.914612159822017,10.089090349363909,0.5254901960784314,1.0,0.6285652678131762,1.0094044477107873,0.02064256878608465,False
nuclei,paper_fast_gp_ms8,3,3,564,480,282,240,0.663681405732035,176.94337454897112,0.002614411562484798,0.03500986099243164,35.503950708599106,23.688954278724278,0.1705972631730777,7.914612159822017,10.089090349363909,0.5058823529411764,1.0,0.561323194087401,0.9524722442920818,0.02057631507824979,False
nuclei,paper_fast_gp_ms8,3,4,846,480,282,240,0.6166466598040038,144.15930017797572,0.0021300133005020053,0.026301860809326172,35.503950708599106,23.688954278724278,0.1705972631730777,7.914612159822017,10.089090349363909,0.49411764705882355,1.0,0.5476471928296021,0.9306223987649519,0.018734254641144966,False
nuclei,paper_fast_gp_ms8,4,1,0,720,282,240,0.6734674286037048,163.25101953627623,0.002412101352486351,0.033399105072021484,35.503950708599106,23.688954278724278,0.1705972631730777,7.914612159822017,10.089090349363909,0.5372549019607843,1.0,0.5842943972680135,0.9567409499918434,0.019852032332863718,False
nuclei,paper_fast_gp_ms8,4,2,282,720,282,240,0.6765528720790179,164.51758236874053,0.0024308153423277267,0.040780067443847656,35.503950708599106,23.688954278724278,0.1705972631730777,7.914612159822017,10.089090349363909,0.5450980392156862,1.0,0.6128323907797245,1.0236503708911784,0.01991266491328433,False
nuclei,paper_fast_gp_ms8,4,3,564,720,282,240,0.6198978476398295,149.57698277745405,0.002210061802267347,0.02916097640991211,35.503950708599106,23.688954278724278,0.1705972631730777,7.914612159822017,10.089090349363909,0.4823529411764706,1.0,0.5347141843996815,0.9870711258530961,0.018925937975732398,False
nuclei,paper_fast_gp_ms8,4,4,846,720,282,240,0.593114662500025,131.95187174552203,0.0019496434950579495,0.025001049041748047,35.503950708599106,23.688954278724278,0.1705972631730777,7.914612159822017,10.089090349363909,0.48627450980392156,1.0,0.5276989685287687,1.0224573064239317,0.01778847966547533,False
whole_cell,paper_fast_gp,1,1,0,0,200,200,0.21307002232238514,825.8786308387917,0.02064696577096979,0.051439762115478516,25232.1719869518,37.99262186398631,0.0022513212375688822,0.00788675664159661,5.237859095706018,0.027450980392156862,0.8980392156862745,0.030223180724335802,0.899414377578154,0.0044009207014759156,False
whole_cell,paper_fast_gp,1,2,200,0,200,200,0.1384430963923324,713.1865585910107,0.017829663964775266,0.029708147048950195,25232.1719869518,37.99262186398631,0.0022513212375688822,0.00788675664159661,5.237859095706018,0.0,0.8901960784313725,0.0005651841093711196,0.8828450853172118,0.004000661345596548,False
whole_cell,paper_fast_gp,1,3,400,0,200,200,0.1598543678658864,852.3498440441149,0.021308746101102873,0.02896904945373535,25232.1719869518,37.99262186398631,0.0022513212375688822,0.00788675664159661,5.237859095706018,0.0,0.8705882352941177,-0.0015232557933696211,0.8689747099559956,0.004410919995029703,False
whole_cell,paper_fast_gp,2,1,0,200,200,200,0.19299532719109044,1087.2425072386889,0.027181062680967222,0.03193497657775879,25232.1719869518,37.99262186398631,0.0022513212375688822,0.00788675664159661,5.237859095706018,0.0,0.8941176470588236,0.0028363531647779827,0.8856616969408017,0.004955754260119084,False
whole_cell,paper_fast_gp,2,2,200,200,200,200,0.17799990957443088,717.4698357060649,0.017936745892651623,0.01617288589477539,25232.1719869518,37.99262186398631,0.0022513212375688822,0.00788675664159661,5.237859095706018,0.0,0.8901960784313725,0.00029743887729266616,0.8726893278657258,0.004070351650000758,False
whole_cell,paper_fast_gp,2,3,400,200,200,200,0.15045103034657875,572.5959113630236,0.01431489778407559,0.05515289306640625,25232.1719869518,37.99262186398631,0.0022513212375688822,0.00788675664159661,5.237859095706018,0.0,0.8549019607843137,-0.002771638966512252,0.8517190522444831,0.00354856349490986,False
whole_cell,paper_fast_gp,3,1,0,400,200,200,0.2071385628464059,889.5809390045779,0.02223952347511445,0.03524303436279297,25232.1719869518,37.99262186398631,0.0022513212375688822,0.00788675664159661,5.237859095706018,0.00392156862745098,0.8784313725490196,0.013950562040365322,0.8789898434481928,0.004415242762923313,False
whole_cell,paper_fast_gp,3,2,200,400,200,200,0.18829040285481882,780.9205131835714,0.019523012829589285,0.03176999092102051,25232.1719869518,37.99262186398631,0.0022513212375688822,0.00788675664159661,5.237859095706018,0.0,0.8196078431372549,-0.001602570100321249,0.8164394407269903,0.004034845242470621,False
