pilot,role,dataset,image,arm,w,ap50,ap75,n_pred,n_gt,merged,split,n_markers,mean_matched_iou
P1_elevation,heldout_candidate,whole_cell,whole_cell_figure_3,gp,0.2,0.3099315068493151,0.007905138339920948,348,417,108,1,384,0.4548361756368845
P1_elevation,heldout_candidate,whole_cell,whole_cell_figure_3,gp,1.0,0.30887372013651876,0.006561679790026247,350,417,110,3,384,0.45230403080451725
P1_elevation,heldout_candidate,whole_cell,whole_cell_figure_3,qep_q2,0.2,0.3099315068493151,0.007905138339920948,348,417,108,1,384,0.4548361756368845
P1_elevation,heldout_candidate,whole_cell,whole_cell_figure_3,qep_q2,1.0,0.30887372013651876,0.006561679790026247,350,417,110,3,384,0.45230403080451725
P1_elevation,heldout_candidate,whole_cell,whole_cell_figure_3,qep_q1.5,0.2,0.35714285714285715,0.020134228187919462,343,417,119,3,373,0.4764377081697526
P1_elevation,heldout_candidate,whole_cell,whole_cell_figure_3,qep_q1.5,1.0,0.3613595706618962,0.014666666666666666,344,417,118,3,373,0.4740650534996825
P1_elevation,heldout_candidate,whole_cell,whole_cell_figure_4,raw,0.2,0.2,0.058823529411764705,125,73,16,9,2460,0.48369449115231167
P1_elevation,heldout_candidate,whole_cell,whole_cell_figure_4,raw,1.0,0.15846994535519127,0.05472636815920398,139,73,15,11,2460,0.4768182907557881
P1_elevation,heldout_candidate,whole_cell,whole_cell_figure_4,gp,0.2,0.2753623188405797,0.07317073170731707,103,73,22,3,122,0.5072137233345219
P1_elevation,heldout_candidate,whole_cell,whole_cell_figure_4,gp,1.0,0.20394736842105263,0.057803468208092484,110,73,22,9,122,0.47960103240574237
P1_elevation,heldout_candidate,whole_cell,whole_cell_figure_4,qep_q2,0.2,0.2753623188405797,0.07317073170731707,103,73,22,3,122,0.5072137233345219
P1_elevation,heldout_candidate,whole_cell,whole_cell_figure_4,qep_q2,1.0,0.20394736842105263,0.057803468208092484,110,73,22,9,122,0.47960103240574237
P1_elevation,heldout_candidate,whole_cell,whole_cell_figure_4,qep_q1.5,0.2,0.2537313432835821,0.05660377358490566,95,73,28,4,114,0.485114191649683
P1_elevation,heldout_candidate,whole_cell,whole_cell_figure_4,qep_q1.5,1.0,0.23776223776223776,0.05357142857142857,104,73,22,7,114,0.4822207672699516
P1_elevation,heldout_candidate,whole_cell,whole_cell_figure_5,raw,0.2,0.19831223628691982,0.028985507246376812,195,89,9,2,1043,0.5107094673550354
P1_elevation,heldout_candidate,whole_cell,whole_cell_figure_5,raw,1.0,0.13703703703703704,0.013201320132013201,218,89,9,5,1043,0.47089422368354056
P1_elevation,heldout_candidate,whole_cell,whole_cell_figure_5,gp,0.2,0.09727626459143969,0.007142857142857143,193,89,5,3,272,0.43897899780195887
P1_elevation,heldout_candidate,whole_cell,whole_cell_figure_5,gp,1.0,0.07291666666666667,0.003246753246753247,220,89,7,6,272,0.39917793303822585
P1_elevation,heldout_candidate,whole_cell,whole_cell_figure_5,qep_q2,0.2,0.09727626459143969,0.007142857142857143,193,89,5,3,272,0.43897899780195887
P1_elevation,heldout_candidate,whole_cell,whole_cell_figure_5,qep_q2,1.0,0.07291666666666667,0.003246753246753247,220,89,7,6,272,0.39917793303822585
P1_elevation,heldout_candidate,whole_cell,whole_cell_figure_5,qep_q1.5,0.2,0.11290322580645161,0.01098901098901099,187,89,7,3,243,0.45168276292727294
P1_elevation,heldout_candidate,whole_cell,whole_cell_figure_5,qep_q1.5,1.0,0.09124087591240876,0.010135135135135136,210,89,9,4,243,0.4205000935832895
