dataset,image,role,arm,variant,oracle,ap50,ap75,n_pred,n_gt,n_markers,merged,rule,scope,fg_dice,fg_iou
whole_cell,whole_cell_figure_4,heldout_candidate,raw,ORACLE_markers_real_fg,True,0.4175824175824176,0.1415929203539823,56,73.0,67.0,29,,,,
whole_cell,whole_cell_figure_4,heldout_candidate,gp,real_pipeline,False,0.20394736842105263,0.057803468208092484,110,73.0,122.0,22,,,,
whole_cell,whole_cell_figure_4,heldout_candidate,gp,ORACLE_markers_real_fg,True,0.2765957446808511,0.10091743119266056,47,73.0,66.0,42,,,,
whole_cell,whole_cell_figure_4,heldout_candidate,qep_q2,real_pipeline,False,0.20394736842105263,0.057803468208092484,110,73.0,122.0,22,,,,
whole_cell,whole_cell_figure_4,heldout_candidate,qep_q2,ORACLE_markers_real_fg,True,0.2765957446808511,0.10091743119266056,47,73.0,66.0,42,,,,
whole_cell,whole_cell_figure_4,heldout_candidate,qep_q1.5,real_pipeline,False,0.23776223776223776,0.05357142857142857,104,73.0,114.0,22,,,,
whole_cell,whole_cell_figure_4,heldout_candidate,qep_q1.5,ORACLE_markers_real_fg,True,0.29347826086956524,0.09174311926605505,46,73.0,66.0,41,,,,
whole_cell,whole_cell_figure_5,heldout_candidate,(none),ORACLE_foreground,True,0.199288256227758,0.10130718954248366,248,89.0,250.0,12,,,,
whole_cell,whole_cell_figure_5,heldout_candidate,raw,real_pipeline,False,0.13703703703703704,0.013201320132013201,218,89.0,1043.0,9,,,,
whole_cell,whole_cell_figure_5,heldout_candidate,raw,ORACLE_markers_real_fg,True,0.4260869565217391,0.031446540880503145,75,89.0,87.0,24,,,,
whole_cell,whole_cell_figure_5,heldout_candidate,gp,real_pipeline,False,0.07291666666666667,0.003246753246753247,220,89.0,272.0,7,,,,
whole_cell,whole_cell_figure_5,heldout_candidate,gp,ORACLE_markers_real_fg,True,0.21323529411764705,0.006097560975609756,76,89.0,86.0,19,,,,
whole_cell,whole_cell_figure_5,heldout_candidate,qep_q2,real_pipeline,False,0.07291666666666667,0.003246753246753247,220,89.0,272.0,7,,,,
whole_cell,whole_cell_figure_5,heldout_candidate,qep_q2,ORACLE_markers_real_fg,True,0.21323529411764705,0.006097560975609756,76,89.0,86.0,19,,,,
whole_cell,whole_cell_figure_5,heldout_candidate,qep_q1.5,real_pipeline,False,0.09124087591240876,0.010135135135135136,210,89.0,243.0,9,,,,
whole_cell,whole_cell_figure_5,heldout_candidate,qep_q1.5,ORACLE_markers_real_fg,True,0.27906976744186046,0.018518518518518517,76,89.0,86.0,20,,,,
nuclei,nuclei_figure_1,,raw,threshold_scope_2x2,False,0.3288888888888889,0.04363001745200698,268,,,27,criterion_1,global,0.6380764611745647,0.46851122180094
nuclei,nuclei_figure_1,,raw,threshold_scope_2x2,False,0.3961456102783726,0.08848080133555926,322,,,46,criterion_1,per_tile,0.6756497274564008,0.5101744919482075
nuclei,nuclei_figure_1,,raw,threshold_scope_2x2,False,0.6933333333333334,0.35683760683760685,305,,,58,li,global,0.8393101933871858,0.7231132629970317
nuclei,nuclei_figure_1,,raw,threshold_scope_2x2,False,0.7123655913978495,0.41555555555555557,307,,,64,li,per_tile,0.864453294087092,0.76126617213171
nuclei,nuclei_figure_1,,gp,threshold_scope_2x2,False,0.08669354838709678,0.009363295880149813,209,,,11,criterion_1,global,0.3982673357633971,0.24864782036096778
nuclei,nuclei_figure_1,,gp,threshold_scope_2x2,False,0.3029045643153527,0.07903780068728522,298,,,66,criterion_1,per_tile,0.6446616062906232,0.4756462366024119
nuclei,nuclei_figure_1,,gp,threshold_scope_2x2,False,0.625,0.2972972972972973,294,,,82,li,global,0.8568645033689786,0.7495738745706672
nuclei,nuclei_figure_1,,gp,threshold_scope_2x2,False,0.6375661375661376,0.3694690265486726,289,,,92,li,per_tile,0.8802738761587345,0.7861510573129433
nuclei,nuclei_figure_1,,qep_q2,threshold_scope_2x2,False,0.08669354838709678,0.009363295880149813,209,,,11,criterion_1,global,0.3982673357633971,0.24864782036096778
nuclei,nuclei_figure_1,,qep_q2,threshold_scope_2x2,False,0.3029045643153527,0.07903780068728522,298,,,66,criterion_1,per_tile,0.6446616062906232,0.4756462366024119
nuclei,nuclei_figure_1,,qep_q2,threshold_scope_2x2,False,0.625,0.2972972972972973,294,,,82,li,global,0.8568645033689786,0.7495738745706672
nuclei,nuclei_figure_1,,qep_q2,threshold_scope_2x2,False,0.6375661375661376,0.3694690265486726,289,,,92,li,per_tile,0.8802738761587345,0.7861510573129433
nuclei,nuclei_figure_1,,qep_q1.5,threshold_scope_2x2,False,0.06378600823045268,0.003883495145631068,187,,,7,criterion_1,global,0.3287063012142496,0.1966777601405818
nuclei,nuclei_figure_1,,qep_q1.5,threshold_scope_2x2,False,0.3235294117647059,0.08736059479553904,255,,,38,criterion_1,per_tile,0.6442981359557741,0.475250608591592
