pilot,role,dataset,image,arm,wm,ap50,ap75,n_pred,n_gt,merged,split,n_markers,mean_matched_iou
P2_markers,heldout_candidate,nuclei,nuclei_figure_3,qep_q1.5,0.3,0.43934426229508194,0.12276214833759591,188,251,104,3,226,0.4985665590869214
P2_markers,heldout_candidate,nuclei,nuclei_figure_3,qep_q1.5,0.0,0.45394736842105265,0.12468193384223919,191,251,101,3,230,0.5069722578128388
P2_markers,heldout_candidate,nuclei,nuclei_figure_4,raw,1.0,0.8141263940520446,0.43529411764705883,234,254,37,0,1785,0.7066459711636213
P2_markers,heldout_candidate,nuclei,nuclei_figure_4,raw,0.7,0.8141263940520446,0.43529411764705883,234,254,37,0,1785,0.7066459711636213
P2_markers,heldout_candidate,nuclei,nuclei_figure_4,raw,0.5,0.8141263940520446,0.43529411764705883,234,254,37,0,1785,0.7066459711636213
P2_markers,heldout_candidate,nuclei,nuclei_figure_4,raw,0.3,0.8141263940520446,0.43529411764705883,234,254,37,0,1785,0.7066459711636213
P2_markers,heldout_candidate,nuclei,nuclei_figure_4,raw,0.0,0.8081180811808119,0.4327485380116959,236,254,36,1,1789,0.708324774073338
P2_markers,heldout_candidate,nuclei,nuclei_figure_4,gp,1.0,0.6857142857142857,0.34472934472934474,218,254,59,0,222,0.6560808651921519
P2_markers,heldout_candidate,nuclei,nuclei_figure_4,gp,0.7,0.657243816254417,0.33238636363636365,215,254,64,0,219,0.6470288516045466
P2_markers,heldout_candidate,nuclei,nuclei_figure_4,gp,0.5,0.657243816254417,0.33238636363636365,215,254,64,0,219,0.6470288516045466
P2_markers,heldout_candidate,nuclei,nuclei_figure_4,gp,0.3,0.6549295774647887,0.3314447592067989,216,254,64,1,220,0.6471346435515373
P2_markers,heldout_candidate,nuclei,nuclei_figure_4,gp,0.0,0.6643109540636042,0.3305084745762712,217,254,63,1,222,0.6496344167359904
P2_markers,heldout_candidate,nuclei,nuclei_figure_4,qep_q2,1.0,0.6857142857142857,0.34472934472934474,218,254,59,0,222,0.6560808651921519
P2_markers,heldout_candidate,nuclei,nuclei_figure_4,qep_q2,0.7,0.657243816254417,0.33238636363636365,215,254,64,0,219,0.6470288516045466
P2_markers,heldout_candidate,nuclei,nuclei_figure_4,qep_q2,0.5,0.657243816254417,0.33238636363636365,215,254,64,0,219,0.6470288516045466
P2_markers,heldout_candidate,nuclei,nuclei_figure_4,qep_q2,0.3,0.6549295774647887,0.3314447592067989,216,254,64,1,220,0.6471346435515373
P2_markers,heldout_candidate,nuclei,nuclei_figure_4,qep_q2,0.0,0.6643109540636042,0.3305084745762712,217,254,63,1,222,0.6496344167359904
P2_markers,heldout_candidate,nuclei,nuclei_figure_4,qep_q1.5,1.0,0.6917562724014337,0.3409090909090909,218,254,58,0,222,0.6566662374152431
P2_markers,heldout_candidate,nuclei,nuclei_figure_4,qep_q1.5,0.7,0.6725978647686833,0.3314447592067989,216,254,61,0,220,0.6507114542088609
P2_markers,heldout_candidate,nuclei,nuclei_figure_4,qep_q1.5,0.5,0.6725978647686833,0.3314447592067989,216,254,61,0,220,0.6507114542088609
P2_markers,heldout_candidate,nuclei,nuclei_figure_4,qep_q1.5,0.3,0.6737588652482269,0.3295774647887324,218,254,60,1,222,0.6536315900215729
P2_markers,heldout_candidate,nuclei,nuclei_figure_4,qep_q1.5,0.0,0.6797153024911032,0.3333333333333333,218,254,59,1,222,0.653163069597967
P2_markers,heldout_candidate,nuclei,nuclei_figure_5,raw,1.0,0.7572254335260116,0.5916230366492147,153,151,8,5,5495,0.7821913855396759
P2_markers,heldout_candidate,nuclei,nuclei_figure_5,raw,0.7,0.7823529411764706,0.5618556701030928,152,151,10,3,5495,0.7792251592136298
P2_markers,heldout_candidate,nuclei,nuclei_figure_5,raw,0.5,0.7719298245614035,0.5699481865284974,152,151,10,5,5498,0.7768208765577269
P2_markers,heldout_candidate,nuclei,nuclei_figure_5,raw,0.3,0.7528735632183908,0.5561224489795918,154,151,11,5,5503,0.7715716113806068
P2_markers,heldout_candidate,nuclei,nuclei_figure_5,raw,0.0,0.75,0.5515463917525774,150,151,15,4,5529,0.7617259241335869
P2_markers,heldout_candidate,nuclei,nuclei_figure_5,gp,1.0,0.7167630057803468,0.3561643835616438,146,151,17,4,149,0.6978456577244918
P2_markers,heldout_candidate,nuclei,nuclei_figure_5,gp,0.7,0.7309941520467836,0.3577981651376147,145,151,17,3,148,0.6985330384093423
P2_markers,heldout_candidate,nuclei,nuclei_figure_5,gp,0.5,0.6971428571428572,0.33183856502242154,146,151,19,4,149,0.6903853858884093
P2_markers,heldout_candidate,nuclei,nuclei_figure_5,gp,0.3,0.6779661016949152,0.32589285714285715,146,151,21,4,150,0.6859714603184035
