q,d,a_qd,rescale,rel_err_vs_C,rel_err_vs_aC,emp_var0,C00,pkg_variance0
2.0,1,0.9999999999999994,False,0.0042057906430312585,0.004205790643031787,3.388862156950465,3.374669005623287,3.374669005623287
2.0,1,0.9999999999999994,True,0.004205790643032048,0.004205790643032577,3.3888621569504678,3.374669005623287,3.374669005623287
2.0,2,1.0,False,0.003509769448006722,0.003509769448006722,2.239235409970161,2.230384764179677,2.2303847641796763
2.0,2,1.0,True,0.003509769448006722,0.003509769448006722,2.239235409970161,2.230384764179677,2.2303847641796763
2.0,5,0.9999999999999993,False,0.004038803230702759,0.004038803230702404,2.662749332525208,2.6766340153192982,2.676634015319298
2.0,5,0.9999999999999993,True,0.004038803230702586,0.004038803230702232,2.662749332525209,2.6766340153192982,2.676634015319298
2.0,20,1.0000000000000018,False,0.008379773866042495,0.00837977386604242,2.2337061026336635,2.2391445821470954,2.239144582147095
2.0,20,1.0000000000000018,True,0.0083797738660423,0.00837977386604223,2.2337061026336587,2.2391445821470954,2.239144582147095
3.0,1,0.8308609250295588,False,0.1703675903190111,0.0014786052774429848,2.7997347790109943,3.374669005623287,3.374669005623287
3.0,1,0.8308609250295588,True,0.0014786052774447462,0.20179125608420181,3.3696792022219433,3.374669005623287,3.374669005623287
3.0,2,0.7165094138448264,False,0.2813339913357967,0.0034735269480402997,1.6040695598348387,2.230384764179677,2.2303847641796763
3.0,2,0.7165094138448264,True,0.0034735269480381695,0.3998683733302571,2.2387278224682503,2.230384764179677,2.2303847641796763
3.0,5,0.5600618087236285,False,0.43985265461186446,0.00506525970311036,1.4984005101915263,2.6766340153192982,2.676634015319298
3.0,5,0.5600618087236285,True,0.005065259703110082,0.7858710287563491,2.6754199033966586,2.6766340153192982,2.676634015319298
3.0,20,0.36435638663961645,False,0.6354865471206215,0.008124927691400594,0.8153100074475387,2.2391445821470954,2.239144582147095
3.0,20,0.36435638663961645,True,0.008124927691400276,1.74594246547876,2.2376717887861735,2.2391445821470954,2.239144582147095
