q,partition,statistic,max_abs_diff,rel_diff,verdict
1.8,2 x 100,B_absdev,0.0008455330123866844,0.014634174430329267,mc-noise
1.8,2 x 100,B_tail,0.009800000000000031,0.030957454033708975,mc-noise
1.8,2 x 100,C_var,5.04717795335452e-15,8.85766791267888e-13,INVARIANT
1.8,2 x 100,C_absdev,2.4077961846558082e-14,4.138181749305647e-13,INVARIANT
1.8,2 x 100,C_tail,0.0,0.0,INVARIANT
1.8,4 x 50,mu,4.263256414560601e-14,6.455732473180726e-14,INVARIANT
1.8,4 x 50,C00,3.593479680485956e-15,6.826539969843957e-13,INVARIANT
1.8,4 x 50,A_var,0.0019428934326037282,0.20520458048227821,CHUNK-DEPENDENT
1.8,4 x 50,A_absdev,0.006902627058753857,0.08897813524093667,CHUNK-DEPENDENT
1.8,4 x 50,A_tail,0.04844999999999999,0.10636388633224059,CHUNK-DEPENDENT
1.8,4 x 50,B_var,0.00016516717338024064,0.03144845714184189,mc-noise
1.8,4 x 50,B_absdev,0.0010367652496948918,0.017943951667259414,mc-noise
1.8,4 x 50,B_tail,0.012849999999999973,0.04059217187073043,mc-noise
1.8,4 x 50,C_var,3.890984756615978e-15,6.828578493946976e-13,INVARIANT
1.8,4 x 50,C_absdev,1.8769708010069053e-14,3.225873669127313e-13,INVARIANT
1.8,4 x 50,C_tail,0.0,0.0,INVARIANT
1.8,20 x 10,mu,4.618527782440651e-14,6.99371017927912e-14,INVARIANT
1.8,20 x 10,C00,3.552713678800501e-15,6.749096721332572e-13,INVARIANT
1.8,20 x 10,A_var,0.003963614276846366,0.4186291390072952,CHUNK-DEPENDENT
1.8,20 x 10,A_absdev,0.014139189379714631,0.1822608543264667,CHUNK-DEPENDENT
1.8,20 x 10,A_tail,0.0928,0.20372690715442576,CHUNK-DEPENDENT
1.8,20 x 10,B_var,0.00016815663965898814,0.032017662875766614,mc-noise
1.8,20 x 10,B_absdev,0.0012383069065564078,0.021432160546489026,mc-noise
1.8,20 x 10,B_tail,0.01679999999999998,0.05306992120064373,mc-noise
1.8,20 x 10,C_var,3.845014584502593e-15,6.747902020434005e-13,INVARIANT
1.8,20 x 10,C_absdev,1.8846035843012032e-14,3.2389918245285697e-13,INVARIANT
1.8,20 x 10,C_tail,0.0,0.0,INVARIANT
1.8,200 x 1,mu,4.618527782440651e-14,6.99371017927912e-14,INVARIANT
1.8,200 x 1,C00,3.885780586188048e-15,7.381824538957501e-13,INVARIANT
1.8,200 x 1,A_var,0.005909841970494564,0.6241858775788268,CHUNK-DEPENDENT
1.8,200 x 1,A_absdev,0.023852226021017775,0.3074665014683055,CHUNK-DEPENDENT
1.8,200 x 1,A_tail,0.14575,0.319969792217215,CHUNK-DEPENDENT
1.8,200 x 1,B_var,0.0002127499798453905,0.04050840421959966,mc-noise
1.8,200 x 1,B_absdev,0.0024311093267140524,0.042076746176840416,mc-noise
1.8,200 x 1,B_tail,0.024899999999999978,0.0786572046366684,mc-noise
1.8,200 x 1,C_var,4.206704429243757e-15,7.38265842524361e-13,INVARIANT
1.8,200 x 1,C_absdev,2.005340338229189e-14,3.4464971917848187e-13,INVARIANT
1.8,200 x 1,C_tail,0.0,0.0,INVARIANT
2.0,1 x 200,mu,0.0,0.0,INVARIANT
2.0,1 x 200,C00,0.0,0.0,INVARIANT
2.0,1 x 200,A_var,0.0,0.0,INVARIANT
2.0,1 x 200,A_absdev,0.0,0.0,INVARIANT
2.0,1 x 200,A_tail,0.0,0.0,INVARIANT
2.0,1 x 200,B_var,0.0,0.0,INVARIANT
2.0,1 x 200,B_absdev,0.0,0.0,INVARIANT
2.0,1 x 200,B_tail,0.0,0.0,INVARIANT
2.0,1 x 200,C_var,0.0,0.0,INVARIANT
2.0,1 x 200,C_absdev,0.0,0.0,INVARIANT
2.0,1 x 200,C_tail,0.0,0.0,INVARIANT
2.0,2 x 100,mu,4.263256414560601e-14,6.455732473180726e-14,INVARIANT
2.0,2 x 100,C00,4.6629367034256575e-15,8.858189446749001e-13,INVARIANT
2.0,2 x 100,A_var,0.0001521909663996894,0.028941266627194172,mc-noise
2.0,2 x 100,A_absdev,0.000921539157923007,0.015935813152495377,mc-noise
2.0,2 x 100,A_tail,0.00764999999999999,0.0241248056612877,mc-noise
2.0,2 x 100,B_var,0.0001521909663996894,0.028941266627194172,mc-noise
2.0,2 x 100,B_absdev,0.000921539157923007,0.015935813152495377,mc-noise
2.0,2 x 100,B_tail,0.00764999999999999,0.0241248056612877,mc-noise
2.0,2 x 100,C_var,4.632579042596063e-15,8.857138391684111e-13,INVARIANT
2.0,2 x 100,C_absdev,2.3876733923344773e-14,4.138949341032351e-13,INVARIANT
2.0,2 x 100,C_tail,0.0,0.0,INVARIANT
2.0,4 x 50,mu,4.263256414560601e-14,6.455732473180726e-14,INVARIANT
2.0,4 x 50,C00,3.593479680485956e-15,6.826539969843957e-13,INVARIANT
2.0,4 x 50,A_var,0.00016712567270329038,0.03178131244171523,mc-noise
2.0,4 x 50,A_absdev,0.0010963439171048986,0.018958642900466123,mc-noise
2.0,4 x 50,A_tail,0.010800000000000032,0.0340585491688769,mc-noise
2.0,4 x 50,B_var,0.00016712567270329038,0.03178131244171523,mc-noise
2.0,4 x 50,B_absdev,0.0010963439171048986,0.018958642900466123,mc-noise
2.0,4 x 50,B_tail,0.010800000000000032,0.0340585491688769,mc-noise
2.0,4 x 50,C_var,3.571795637036246e-15,6.829001291322817e-13,INVARIANT
2.0,4 x 50,C_absdev,1.8610113450279187e-14,3.225998876096706e-13,INVARIANT
2.0,4 x 50,C_tail,0.0,0.0,INVARIANT
2.0,20 x 10,mu,4.618527782440651e-14,6.99371017927912e-14,INVARIANT
2.0,20 x 10,C00,3.552713678800501e-15,6.749096721332572e-13,INVARIANT
2.0,20 x 10,A_var,0.0001899437706870833,0.03612049677897784,mc-noise
2.0,20 x 10,A_absdev,0.0008568368576445801,0.014816941795908048,mc-noise
2.0,20 x 10,A_tail,0.009550000000000003,0.030116587459516064,mc-noise
2.0,20 x 10,B_var,0.00018994377068707637,0.036120496778976524,mc-noise
2.0,20 x 10,B_absdev,0.0008568368576445523,0.014816941795907567,mc-noise
2.0,20 x 10,B_tail,0.009550000000000003,0.030116587459516064,mc-noise
2.0,20 x 10,C_var,3.5301622736128024e-15,6.749401470540036e-13,INVARIANT
2.0,20 x 10,C_absdev,1.867950238931826e-14,3.2380272089680586e-13,INVARIANT
2.0,20 x 10,C_tail,0.0,0.0,INVARIANT
2.0,200 x 1,mu,4.618527782440651e-14,6.99371017927912e-14,INVARIANT
2.0,200 x 1,C00,3.885780586188048e-15,7.381824538957501e-13,INVARIANT
2.0,200 x 1,A_var,0.00013816283784860977,0.02627361940553766,mc-noise
2.0,200 x 1,A_absdev,0.000787189924106986,0.01361256484680385,mc-noise
2.0,200 x 1,A_tail,0.009050000000000002,0.02853980277577177,mc-noise
2.0,200 x 1,B_var,0.0001381628378486089,0.026273619405537497,mc-noise
2.0,200 x 1,B_absdev,0.0007871899241069721,0.013612564846803609,mc-noise
2.0,200 x 1,B_tail,0.009050000000000002,0.02853980277577177,mc-noise
2.0,200 x 1,C_var,3.859759734048396e-15,7.379566718403725e-13,INVARIANT
2.0,200 x 1,C_absdev,1.9893808822502024e-14,3.448523034216725e-13,INVARIANT
2.0,200 x 1,C_tail,0.0,0.0,INVARIANT
