test,q,lengthscale,outputscale,noise,mll,best_outputscale,best_mll,at_grid_edge
T2,2.0,0.15,,0.001,,2.5118864315095824,0.08683034358955695,False
T2,2.0,0.15,,0.0001,,7.943282347242821,-0.08217532330426813,False
T2,2.0,0.15,,1e-06,,10.0,-0.10012857829481411,False
T2,2.0,0.15,,1e-08,,10.0,-0.10024674355458921,False
T3,1.0,0.001,0.0001,1e-10,-5.105287964613081,,,
T3,1.0,0.001,0.0001,1e-09,-5.105264511244686,,,
T3,1.0,0.001,0.0001,1e-08,-5.105029995530208,,,
T3,1.0,0.001,0.0001,1e-07,-5.102686633818934,,,
T3,1.0,0.001,0.0001,1e-06,-5.079431060106119,,,
T3,1.0,0.001,0.0001,1e-05,-4.863300892131455,,,
T3,1.0,0.001,0.0001,0.0001,-3.6055994129010984,,,
T3,1.0,0.001,0.0001,0.001,-1.715064232720629,,,
T3,1.0,0.001,0.0001,0.01,-1.1155223760495034,,,
T3,1.0,0.001,0.0001,0.1,-1.3011112685988444,,,
T3,1.0,0.001,0.0001,1.0,-1.7531128307218267,,,
T3,1.0,0.001,0.0001,10.0,-2.2896829569399,,,
T3,1.0,0.001,0.00046415888336127773,1e-10,-2.4283814949237272,,,
T3,1.0,0.001,0.00046415888336127773,1e-09,-2.4283794093187203,,,
T3,1.0,0.001,0.00046415888336127773,1e-08,-2.4283585536281107,,,
T3,1.0,0.001,0.00046415888336127773,1e-07,-2.42815003266225,,,
T3,1.0,0.001,0.00046415888336127773,1e-06,-2.4260684104079613,,,
T3,1.0,0.001,0.00046415888336127773,1e-05,-2.405604433812937,,,
T3,1.0,0.001,0.00046415888336127773,0.0001,-2.230734755145634,,,
T3,1.0,0.001,0.00046415888336127773,0.001,-1.5571020913009768,,,
T3,1.0,0.001,0.00046415888336127773,0.01,-1.1144003874098487,,,
T3,1.0,0.001,0.00046415888336127773,0.1,-1.3016916086937036,,,
T3,1.0,0.001,0.00046415888336127773,1.0,-1.7531934489662977,,,
T3,1.0,0.001,0.00046415888336127773,10.0,-2.289691731785809,,,
T3,1.0,0.001,0.002154434690031882,1e-10,-1.3915073177531774,,,
T3,1.0,0.001,0.002154434690031882,1e-09,-1.391507165153317,,,
T3,1.0,0.001,0.002154434690031882,1e-08,-1.3915056391611746,,,
T3,1.0,0.001,0.002154434690031882,1e-07,-1.391490379885606,,,
T3,1.0,0.001,0.002154434690031882,1e-06,-1.3913378516893833,,,
T3,1.0,0.001,0.002154434690031882,1e-05,-1.3898189989859264,,,
T3,1.0,0.001,0.002154434690031882,0.0001,-1.3752477908551648,,,
T3,1.0,0.001,0.002154434690031882,0.001,-1.273233227819841,,,
T3,1.0,0.001,0.002154434690031882,0.01,-1.111556264556354,,,
T3,1.0,0.001,0.002154434690031882,0.1,-1.3043656741908953,,,
T3,1.0,0.001,0.002154434690031882,1.0,-1.7535672866376757,,,
T3,1.0,0.001,0.002154434690031882,10.0,-2.289732456907841,,,
T3,1.0,0.001,0.01,1e-10,-1.1158695022972835,,,
T3,1.0,0.001,0.01,1e-09,-1.1158694990937168,,,
T3,1.0,0.001,0.01,1e-08,-1.1158694670581244,,,
T3,1.0,0.001,0.01,1e-07,-1.1158691467101476,,,
T3,1.0,0.001,0.01,1e-06,-1.1158659440250247,,,
T3,1.0,0.001,0.01,1e-05,-1.115833996553766,,,
T3,1.0,0.001,0.01,0.0001,-1.1155223760495034,,,
T3,1.0,0.001,0.01,0.001,-1.113115325266047,,,
T3,1.0,0.001,0.01,0.01,-1.1218585025130263,,,
T3,1.0,0.001,0.01,0.1,-1.3163733052486253,,,
T3,1.0,0.001,0.01,1.0,-1.7552947994911627,,,
T3,1.0,0.001,0.01,10.0,-2.2899213978027375,,,
T3,1.0,0.001,0.046415888336127774,1e-10,-1.1935663824648512,,,
T3,1.0,0.001,0.046415888336127774,1e-09,-1.1935663847419726,,,
T3,1.0,0.001,0.046415888336127774,1e-08,-1.1935664075131838,,,
T3,1.0,0.001,0.046415888336127774,1e-07,-1.1935666352251908,,,
T3,1.0,0.001,0.046415888336127774,1e-06,-1.1935689123346822,,,
T3,1.0,0.001,0.046415888336127774,1e-05,-1.1935916823717487,,,
T3,1.0,0.001,0.046415888336127774,0.0001,-1.1938192769621352,,,
T3,1.0,0.001,0.046415888336127774,0.001,-1.1960846511920173,,,
T3,1.0,0.001,0.046415888336127774,0.01,-1.2177012112446324,,,
T3,1.0,0.001,0.046415888336127774,0.1,-1.364920511371427,,,
T3,1.0,0.001,0.046415888336127774,1.0,-1.7631522254031562,,,
T3,1.0,0.001,0.046415888336127774,10.0,-2.290796485459804,,,
